point_id,t,E_expt_eV
1,0.841529,-0.2146
2,0.816848,-0.37
3,0.80864,-0.4418
4,0.783979,-0.6091
5,0.751071,-0.8183
6,0.680998,-1.141
7,0.643928,-1.3322
8,0.598555,-1.5114
9,0.58213,-1.6429
10,0.478956,-2.0013
11,0.359135,-2.3056
12,0.297153,-2.4608
13,0.292905,-2.377
14,0.230884,-2.4903
15,0.172939,-2.5558
16,0.11086,-2.6272
17,0.057038,-2.6687
18,0.052809,-2.6029
19,0.042515,-2.5903
20,0.133793,-2.506
21,0.229262,-2.3738
22,0.316369,-2.3134
23,0.411934,-2.1034
24,0.511748,-1.7977
25,0.574125,-1.6178
26,0.653391,-1.1746
27,0.707697,-0.8093
28,0.719911,-0.9947
29,0.76176,-0.6534
30,0.790854,-0.5814
31,0.820295,-0.2163
