K_bohr_inv,f_c
0.0000,-1.04969089e+00
0.0200,-1.04967625e+00
0.0400,-1.04963233e+00
0.0600,-1.04955914e+00
0.0800,-1.04945668e+00
0.1000,-1.04932496e+00
0.1200,-1.04916399e+00
0.1400,-1.04897380e+00
0.1600,-1.04875438e+00
0.1800,-1.04850578e+00
0.2000,-1.04822800e+00
0.2200,-1.04792107e+00
0.2400,-1.04758502e+00
0.2600,-1.04721989e+00
0.2800,-1.04682569e+00
0.3000,-1.04640248e+00
0.3200,-1.04595028e+00
0.3400,-1.04546914e+00
0.3600,-1.04495911e+00
0.3800,-1.04442021e+00
0.4000,-1.04385252e+00
0.4200,-1.04325607e+00
0.4400,-1.04263092e+00
0.4600,-1.04197712e+00
0.4800,-1.04129474e+00
0.5000,-1.04058384e+00
0.5200,-1.03984447e+00
0.5400,-1.03907672e+00
0.5600,-1.03828063e+00
0.5800,-1.03745629e+00
0.6000,-1.03660377e+00
0.6200,-1.03572314e+00
0.6400,-1.03481448e+00
0.6600,-1.03387788e+00
0.6800,-1.03291341e+00
0.7000,-1.03192117e+00
0.7200,-1.03090124e+00
0.7400,-1.02985370e+00
0.7600,-1.02877866e+00
0.7800,-1.02767621e+00
0.8000,-1.02654644e+00
0.8200,-1.02538946e+00
0.8400,-1.02420536e+00
0.8600,-1.02299426e+00
0.8800,-1.02175625e+00
0.9000,-1.02049144e+00
0.9200,-1.01919996e+00
0.9400,-1.01788190e+00
0.9600,-1.01653738e+00
0.9800,-1.01516652e+00
1.0000,-1.01376944e+00
1.0200,-1.01234627e+00
1.0400,-1.01089712e+00
1.0600,-1.00942211e+00
1.0800,-1.00792139e+00
1.1000,-1.00639507e+00
1.1200,-1.00484328e+00
1.1400,-1.00326617e+00
1.1600,-1.00166386e+00
1.1800,-1.00003650e+00
1.2000,-9.98384220e-01
1.2200,-9.96707161e-01
1.2400,-9.95005468e-01
1.2600,-9.93279284e-01
1.2800,-9.91528756e-01
1.3000,-9.89754032e-01
1.3200,-9.87955262e-01
1.3400,-9.86132597e-01
1.3600,-9.84286190e-01
1.3800,-9.82416196e-01
1.4000,-9.80522772e-01
1.4200,-9.78606074e-01
1.4400,-9.76666263e-01
1.4600,-9.74703500e-01
1.4800,-9.72717948e-01
1.5000,-9.70709769e-01
1.5200,-9.68679131e-01
1.5400,-9.66626199e-01
1.5600,-9.64551143e-01
1.5800,-9.62454132e-01
1.6000,-9.60335337e-01
1.6200,-9.58194930e-01
1.6400,-9.56033085e-01
1.6600,-9.53849978e-01
1.6800,-9.51645784e-01
1.7000,-9.49420682e-01
1.7200,-9.47174848e-01
1.7400,-9.44908464e-01
1.7600,-9.42621710e-01
1.7800,-9.40314768e-01
