r_bohr,u_c
0.00200,1.75788745e-01
0.00400,3.42560768e-01
0.00600,5.00669002e-01
0.00800,6.50454555e-01
0.01000,7.92246968e-01
0.01200,9.26364484e-01
0.01400,1.05311433e+00
0.01600,1.17279299e+00
0.01800,1.28568651e+00
0.02000,1.39207078e+00
0.02200,1.49221181e+00
0.02400,1.58636606e+00
0.02600,1.67478068e+00
0.02800,1.75769385e+00
0.03000,1.83533501e+00
0.03200,1.90792518e+00
0.03400,1.97567722e+00
0.03600,2.03879609e+00
0.03800,2.09747914e+00
0.04000,2.15191632e+00
0.04200,2.20229049e+00
0.04400,2.24877763e+00
0.04600,2.29154708e+00
0.04800,2.33076177e+00
0.05000,2.36657848e+00
0.05200,2.39914799e+00
0.05400,2.42861537e+00
0.05600,2.45512013e+00
0.05800,2.47879644e+00
0.06000,2.49977332e+00
0.06200,2.51817484e+00
0.06400,2.53412027e+00
0.06600,2.54772427e+00
0.06800,2.55909707e+00
0.07000,2.56834460e+00
0.07200,2.57556871e+00
0.07400,2.58086722e+00
0.07600,2.58433418e+00
0.07800,2.58605991e+00
0.08000,2.58613121e+00
0.08200,2.58463146e+00
0.08400,2.58164073e+00
0.08600,2.57723592e+00
0.08800,2.57149090e+00
0.09000,2.56447658e+00
0.09200,2.55626104e+00
0.09400,2.54690963e+00
0.09600,2.53648509e+00
0.09800,2.52504760e+00
0.10000,2.51265493e+00
0.10200,2.49936250e+00
0.10400,2.48522346e+00
0.10600,2.47028880e+00
0.10800,2.45460741e+00
0.11000,2.43822615e+00
0.11200,2.42118997e+00
0.11400,2.40354192e+00
0.11600,2.38532326e+00
0.11800,2.36657353e+00
0.12000,2.34733057e+00
0.12200,2.32763065e+00
0.12400,2.30750847e+00
0.12600,2.28699725e+00
0.12800,2.26612877e+00
0.13000,2.24493344e+00
0.13200,2.22344033e+00
0.13400,2.20167725e+00
0.13600,2.17967076e+00
0.13800,2.15744624e+00
0.14000,2.13502793e+00
0.14200,2.11243899e+00
0.14400,2.08970150e+00
0.14600,2.06683654e+00
0.14800,2.04386421e+00
0.15000,2.02080367e+00
0.15200,1.99767317e+00
0.15400,1.97449009e+00
0.15600,1.95127099e+00
0.15800,1.92803160e+00
0.16000,1.90478690e+00
0.16200,1.88155111e+00
0.16400,1.85833775e+00
0.16600,1.83515963e+00
0.16800,1.81202892e+00
0.17000,1.78895714e+00
0.17200,1.76595523e+00
0.17400,1.74303349e+00
0.17600,1.72020171e+00
0.17800,1.69746912e+00
0.18000,1.67484441e+00
0.18200,1.65233581e+00
0.18400,1.62995103e+00
0.18600,1.60769737e+00
0.18800,1.58558163e+00
0.19000,1.56361025e+00
0.19200,1.54178921e+00
0.19400,1.52012414e+00
0.19600,1.49862026e+00
0.19800,1.47728248e+00
0.20000,1.45611533e+00
