element,point_id,t,E_pred_eV,E_KS_eV,Delta
Al,1,0.000590,-10.70379,-11.17864,0.044363
Al,1,0.000590,12.57097,12.57097,0.000000
Al,2,0.092320,-10.63338,-11.10200,0.044070
Al,2,0.092320,11.64611,11.64611,0.000000
Al,3,0.150170,-10.51727,-10.97597,0.043614
Al,3,0.150170,10.90388,10.90388,0.000000
Al,4,0.200970,-10.36960,-10.81584,0.043034
Al,4,0.200970,10.27723,10.27723,0.000000
Al,5,0.266720,-10.11504,-10.54016,0.042029
Al,5,0.266720,9.51490,9.51490,0.000000
Al,6,0.277880,-10.06463,-10.48572,0.041839
Al,6,0.277880,9.39160,9.39160,0.000000
Al,7,0.323280,-9.83834,-10.24150,0.040978
Al,7,0.323280,8.90760,8.90760,0.000000
Al,8,0.356490,-9.65121,-10.03977,0.040260
Al,8,0.356490,8.57257,8.57257,0.000000
Al,9,0.371350,-9.56160,-9.94320,0.039910
Al,9,0.371350,8.42794,8.42794,0.000000
Al,10,0.383080,-9.48814,-9.86424,0.039638
Al,10,0.383080,8.31609,8.31609,0.000000
Al,11,0.398130,-9.39067,-9.75938,0.039263
Al,11,0.398130,8.17565,8.17565,0.000000
Al,12,0.427800,-9.18730,-9.54106,0.038505
Al,12,0.427800,7.90861,7.90861,0.000000
Al,13,0.436450,-9.12535,-9.47452,0.038263
Al,13,0.436450,7.83325,7.83325,0.000000
Al,14,0.452660,-9.00570,-9.34631,0.037822
Al,14,0.452660,7.69508,7.69508,0.000000
Al,15,0.459870,-8.95112,-9.28782,0.037616
Al,15,0.459870,7.63490,7.63490,0.000000
Al,16,0.462900,-8.92798,-9.26297,0.037521
Al,16,0.462900,7.60984,7.60984,0.000000
Al,17,0.492870,-8.69007,-9.00861,0.036656
Al,17,0.492870,7.36952,7.36952,0.000000
Al,18,0.503150,-8.60515,-8.91780,0.036332
Al,18,0.503150,7.29024,7.29024,0.000000
Al,19,0.510590,-8.54251,-8.85094,0.036105
Al,19,0.510590,7.23386,7.23386,0.000000
Al,20,0.521280,-8.45096,-8.75320,0.035764
Al,20,0.521280,7.15433,7.15433,0.000000
Al,21,0.541390,-8.27348,-8.56405,0.035121
Al,21,0.541390,7.00945,7.00945,0.000000
Al,22,0.567460,-8.03346,-8.30858,0.034247
Al,22,0.567460,6.45648,6.51357,0.008842
Al,23,0.571370,-7.99661,-8.26927,0.034098
Al,23,0.571370,6.36532,6.42213,0.008925
Al,24,0.603370,-7.68442,-7.93786,0.032981
Al,24,0.603370,5.62963,5.68499,0.009835
Al,25,0.603560,-7.68267,-7.93584,0.032953
Al,25,0.603560,5.62529,5.68065,0.009842
Al,26,0.622650,-7.48836,-7.72990,0.032256
Al,26,0.622650,5.19281,5.24696,0.010428
Al,27,0.623320,-7.48153,-7.72256,0.032217
Al,27,0.623320,5.17773,5.23183,0.010448
Al,28,0.631980,-7.39132,-7.62704,0.031892
Al,28,0.631980,4.98328,5.03674,0.010729
Al,29,0.637620,-7.33191,-7.56417,0.031678
Al,29,0.637620,4.85722,4.91022,0.010913
Al,30,0.652470,-7.17303,-7.39610,0.031099
Al,30,0.652470,4.52749,4.57916,0.011413
Al,31,0.653160,-7.16550,-7.38821,0.031080
Al,31,0.653160,4.51226,4.56385,0.011434
Al,32,0.654310,-7.15315,-7.37503,0.031019
Al,32,0.654310,4.48686,4.53835,0.011477
Al,33,0.665610,-7.02948,-7.24437,0.030570
Al,33,0.665610,4.23842,4.28875,0.011874
Al,34,0.666950,-7.01464,-7.22874,0.030522
Al,34,0.666950,4.20909,4.25927,0.011920
Al,35,0.667060,-7.01351,-7.22746,0.030505
Al,35,0.667060,4.20668,4.25685,0.011925
Al,36,0.680010,-6.86895,-7.07486,0.029978
Al,36,0.680010,3.92461,3.97326,0.012396
Al,37,0.703750,-6.59687,-6.78812,0.028990
Al,37,0.703750,3.41417,3.45960,0.013307
Al,38,0.704470,-6.58863,-6.77928,0.028937
Al,38,0.704470,3.39882,3.44414,0.013335
Al,39,0.717440,-6.43607,-6.61867,0.028370
Al,39,0.717440,3.12387,3.16716,0.013857
Al,40,0.728310,-6.30619,-6.48203,0.027884
Al,40,0.728310,2.89548,2.93692,0.014309
Al,41,0.730240,-6.28297,-6.45759,0.027792
Al,41,0.730240,2.85514,2.89622,0.014389
Al,42,0.746550,-6.08418,-6.24865,0.027033
Al,42,0.746550,2.51661,2.55460,0.015099
Al,43,0.749990,-6.04180,-6.20407,0.026858
Al,43,0.749990,2.44577,2.48308,0.015254
Al,44,0.753530,-5.99792,-6.15800,0.026689
Al,44,0.753530,2.37309,2.40967,0.015414
Al,45,0.757040,-5.95427,-6.11214,0.026514
Al,45,0.757040,2.30123,2.33707,0.015576
Al,46,0.773060,-5.75247,-5.90048,0.025729
Al,46,0.773060,1.97592,2.00819,0.016328
Al,47,0.787050,-5.57326,-5.71259,0.024999
Al,47,0.787050,1.69562,1.72449,0.017024
Al,48,0.799890,-5.40635,-5.53772,0.024299
Al,48,0.799890,1.44147,1.46698,0.017694
Al,49,0.811810,-5.24939,-5.37338,0.023620
Al,49,0.811810,1.20832,1.23049,0.018346
Al,50,0.815320,-5.20286,-5.32464,0.023406
Al,50,0.815320,1.14020,1.16134,0.018545
Al,51,0.860530,-4.59029,-4.68400,0.020415
Al,51,0.860530,0.28568,0.29180,0.021436
Al,52,0.871990,-4.43197,-4.51855,0.019535
Al,52,0.871990,0.07679,0.07850,0.022314
Al,53,0.890120,-4.18045,-4.25543,0.017934
Al,53,0.890120,-0.24608,-0.25196,0.023872
Al,53,0.890120,5.41384,5.41384,0.000000
Al,54,0.895310,-4.10836,-4.17999,0.017437
Al,54,0.895310,-0.33657,-0.34477,0.024370
Al,54,0.895310,5.40395,5.40395,0.000000
Al,55,0.899560,-4.04938,-4.11826,0.017010
Al,55,0.899560,-0.40995,-0.42012,0.024798
Al,55,0.899560,5.39620,5.39620,0.000000
Al,56,0.904880,-3.97571,-4.04109,0.016447
Al,56,0.904880,-0.50083,-0.51353,0.025362
Al,56,0.904880,5.38696,5.38696,0.000000
Al,57,0.917450,-3.80292,-3.85977,0.014950
Al,57,0.917450,-0.71068,-0.72975,0.026827
Al,57,0.917450,5.36712,5.36712,0.000000
Al,58,0.930550,-3.62611,-3.67380,0.013152
