K_bohr_inv,f_c
0.0000,-1.30709897e+00
0.0200,-1.30626829e+00
0.0400,-1.30377907e+00
0.0600,-1.29963976e+00
0.0800,-1.29386439e+00
0.1000,-1.28647248e+00
0.1200,-1.27748891e+00
0.1400,-1.26694375e+00
0.1600,-1.25487211e+00
0.1800,-1.24131388e+00
0.2000,-1.22631349e+00
0.2200,-1.20991969e+00
0.2400,-1.19218516e+00
0.2600,-1.17316631e+00
0.2800,-1.15292285e+00
0.3000,-1.13151751e+00
0.3200,-1.10901569e+00
0.3400,-1.08548505e+00
0.3600,-1.06099520e+00
0.3800,-1.03561730e+00
0.4000,-1.00942373e+00
0.4200,-9.82487693e-01
0.4400,-9.54882906e-01
0.4600,-9.26683234e-01
0.4800,-8.97962371e-01
0.5000,-8.68793522e-01
0.5200,-8.39249110e-01
0.5400,-8.09400489e-01
0.5600,-7.79317684e-01
0.5800,-7.49069146e-01
0.6000,-7.18721531e-01
0.6200,-6.88339494e-01
0.6400,-6.57985509e-01
0.6600,-6.27719709e-01
0.6800,-5.97599745e-01
0.7000,-5.67680667e-01
0.7200,-5.38014826e-01
0.7400,-5.08651793e-01
0.7600,-4.79638303e-01
0.7800,-4.51018207e-01
0.8000,-4.22832452e-01
0.8200,-3.95119068e-01
0.8400,-3.67913179e-01
0.8600,-3.41247018e-01
0.8800,-3.15149965e-01
0.9000,-2.89648591e-01
0.9200,-2.64766709e-01
0.9400,-2.40525448e-01
0.9600,-2.16943316e-01
0.9800,-1.94036292e-01
1.0000,-1.71817903e-01
1.0200,-1.50299323e-01
1.0400,-1.29489469e-01
1.0600,-1.09395098e-01
1.0800,-9.00209147e-02
1.1000,-7.13696716e-02
1.1200,-5.34422781e-02
1.1400,-3.62379051e-02
1.1600,-1.97540918e-02
1.1800,-3.98685067e-03
1.2000,1.10692284e-02
1.2200,2.54208757e-02
1.2400,3.90760412e-02
1.2600,5.20437968e-02
1.2800,6.43342411e-02
1.3000,7.59584070e-02
1.3200,8.69281725e-02
1.3400,9.72561754e-02
1.3600,1.06955730e-01
1.3800,1.16040750e-01
1.4000,1.24525671e-01
1.4200,1.32425380e-01
1.4400,1.39755149e-01
1.4600,1.46530569e-01
1.4800,1.52767489e-01
1.5000,1.58481961e-01
1.5200,1.63690185e-01
1.5400,1.68408459e-01
1.5600,1.72653134e-01
1.5800,1.76440569e-01
1.6000,1.79787090e-01
1.6200,1.82708956e-01
1.6400,1.85222322e-01
1.6600,1.87343209e-01
1.6800,1.89087474e-01
1.7000,1.90470787e-01
1.7200,1.91508602e-01
1.7400,1.92216142e-01
1.7600,1.92608375e-01
1.7800,1.92700002e-01
1.8000,1.92505437e-01
1.8200,1.92038796e-01
1.8400,1.91313886e-01
1.8600,1.90344198e-01
1.8800,1.89142892e-01
1.9000,1.87722798e-01
1.9200,1.86096404e-01
1.9400,1.84275859e-01
1.9600,1.82272963e-01
1.9800,1.80099171e-01
2.0000,1.77765587e-01
2.0200,1.75282969e-01
2.0400,1.72661726e-01
2.0600,1.69911923e-01
2.0800,1.67043280e-01
2.1000,1.64065177e-01
2.1200,1.60986659e-01
2.1400,1.57816435e-01
2.1600,1.54562889e-01
2.1800,1.51234081e-01
2.2000,1.47837752e-01
2.2200,1.44381331e-01
2.2400,1.40871943e-01
2.2600,1.37316410e-01
2.2800,1.33721262e-01
2.3000,1.30092742e-01
2.3200,1.26436811e-01
2.3400,1.22759158e-01
2.3600,1.19065204e-01
2.3800,1.15360112e-01
2.4000,1.11648791e-01
2.4200,1.07935903e-01
2.4400,1.04225874e-01
2.4600,1.00522898e-01
2.4800,9.68309414e-02
2.5000,9.31537564e-02
2.5200,8.94948826e-02
2.5400,8.58576561e-02
2.5600,8.22452158e-02
2.5800,7.86605099e-02
2.6000,7.51063029e-02
2.6200,7.15851815e-02
2.6400,6.80995615e-02
2.6600,6.46516938e-02
2.6800,6.12436706e-02
2.7000,5.78774312e-02
2.7200,5.45547682e-02
2.7400,5.12773332e-02
2.7600,4.80466422e-02
2.7800,4.48640812e-02
2.8000,4.17309118e-02
2.8200,3.86482760e-02
2.8400,3.56172017e-02
2.8600,3.26386073e-02
2.8800,2.97133066e-02
2.9000,2.68420139e-02
2.9200,2.40253479e-02
2.9400,2.12638364e-02
2.9600,1.85579208e-02
2.9800,1.59079598e-02
3.0000,1.33142338e-02
3.0200,1.07769487e-02
3.0400,8.29623941e-03
3.0600,5.87217389e-03
3.0800,3.50475640e-03
3.1000,1.19393097e-03
3.1200,-1.06041530e-03
3.1400,-3.25844907e-03
3.1600,-5.40038773e-03
3.1800,-7.48649644e-03
3.2000,-9.51708528e-03
3.2200,-1.14925066e-02
3.2400,-1.34131521e-02
3.2600,-1.52794509e-02
3.2800,-1.70918664e-02
3.3000,-1.88508945e-02
3.3200,-2.05570609e-02
3.3400,-2.22109195e-02
3.3600,-2.38130496e-02
3.3800,-2.53640547e-02
3.4000,-2.68645602e-02
3.4200,-2.83152113e-02
3.4400,-2.97166720e-02
3.4600,-3.10696228e-02
3.4800,-3.23747594e-02
3.5000,-3.36327910e-02
3.5200,-3.48444390e-02
3.5400,-3.60104358e-02
3.5600,-3.71315229e-02
3.5800,-3.82084504e-02
3.6000,-3.92419750e-02
3.6200,-4.02328597e-02
3.6400,-4.11818718e-02
3.6600,-4.20897828e-02
3.6800,-4.29573668e-02
3.7000,-4.37853997e-02
3.7200,-4.45746585e-02
3.7400,-4.53259203e-02
3.7600,-4.60399617e-02
3.7800,-4.67175577e-02
3.8000,-4.73594814e-02
3.8200,-4.79665031e-02
