K_bohr_inv,f_c
0.0000,-1.00122924e+00
0.0200,-1.00121764e+00
0.0400,-1.00118284e+00
0.0600,-1.00112483e+00
0.0800,-1.00104364e+00
0.1000,-1.00093925e+00
0.1200,-1.00081168e+00
0.1400,-1.00066094e+00
0.1600,-1.00048705e+00
0.1800,-1.00029000e+00
0.2000,-1.00006982e+00
0.2200,-9.99826526e-01
0.2400,-9.99560134e-01
0.2600,-9.99270663e-01
0.2800,-9.98958137e-01
0.3000,-9.98622577e-01
0.3200,-9.98264010e-01
0.3400,-9.97882461e-01
0.3600,-9.97477960e-01
0.3800,-9.97050537e-01
0.4000,-9.96600223e-01
0.4200,-9.96127051e-01
0.4400,-9.95631058e-01
0.4600,-9.95112281e-01
0.4800,-9.94570756e-01
0.5000,-9.94006526e-01
0.5200,-9.93419632e-01
0.5400,-9.92810117e-01
0.5600,-9.92178026e-01
0.5800,-9.91523407e-01
0.6000,-9.90846308e-01
0.6200,-9.90146779e-01
0.6400,-9.89424872e-01
0.6600,-9.88680640e-01
0.6800,-9.87914138e-01
0.7000,-9.87125422e-01
0.7200,-9.86314551e-01
0.7400,-9.85481585e-01
0.7600,-9.84626584e-01
0.7800,-9.83749612e-01
0.8000,-9.82850732e-01
0.8200,-9.81930011e-01
0.8400,-9.80987516e-01
0.8600,-9.80023317e-01
0.8800,-9.79037482e-01
0.9000,-9.78030085e-01
0.9200,-9.77001199e-01
0.9400,-9.75950899e-01
0.9600,-9.74879261e-01
0.9800,-9.73786363e-01
1.0000,-9.72672284e-01
1.0200,-9.71537105e-01
1.0400,-9.70380908e-01
1.0600,-9.69203776e-01
1.0800,-9.68005795e-01
1.1000,-9.66787050e-01
1.1200,-9.65547630e-01
1.1400,-9.64287623e-01
1.1600,-9.63007120e-01
1.1800,-9.61706212e-01
1.2000,-9.60384992e-01
1.2200,-9.59043555e-01
1.2400,-9.57681996e-01
1.2600,-9.56300411e-01
1.2800,-9.54898900e-01
1.3000,-9.53477561e-01
1.3200,-9.52036495e-01
1.3400,-9.50575803e-01
1.3600,-9.49095590e-01
1.3800,-9.47595957e-01
1.4000,-9.46077013e-01
1.4200,-9.44538861e-01
1.4400,-9.42981611e-01
1.4600,-9.41405371e-01
1.4800,-9.39810250e-01
1.5000,-9.38196360e-01
1.5200,-9.36563813e-01
