r_bohr,u_c,V_H_c
0.00200,1.55833186e-01,1.15448693e+01
0.00400,3.04280515e-01,1.15547366e+01
0.00600,4.45609359e-01,1.15551541e+01
0.00800,5.80078834e-01,1.15468012e+01
0.01000,7.07939961e-01,1.15303176e+01
0.01200,8.29435833e-01,1.15063055e+01
0.01400,9.44801791e-01,1.14753313e+01
0.01600,1.05426560e+00,1.14379278e+01
0.01800,1.15804763e+00,1.13945961e+01
0.02000,1.25636105e+00,1.13458069e+01
0.02200,1.34941199e+00,1.12920026e+01
0.02400,1.43739976e+00,1.12335990e+01
0.02600,1.52051702e+00,1.11709861e+01
0.02800,1.59894995e+00,1.11045300e+01
0.03000,1.67287848e+00,1.10345745e+01
0.03200,1.74247640e+00,1.09614417e+01
0.03400,1.80791161e+00,1.08854336e+01
0.03600,1.86934628e+00,1.08068332e+01
0.03800,1.92693700e+00,1.07259057e+01
0.04000,1.98083495e+00,1.06428992e+01
0.04200,2.03118611e+00,1.05580458e+01
0.04400,2.07813139e+00,1.04715628e+01
0.04600,2.12180680e+00,1.03836531e+01
0.04800,2.16234359e+00,1.02945062e+01
0.05000,2.19986844e+00,1.02042992e+01
0.05200,2.23450357e+00,1.01131973e+01
0.05400,2.26636692e+00,1.00213544e+01
0.05600,2.29557226e+00,9.92891387e+00
0.05800,2.32222935e+00,9.83600935e+00
0.06000,2.34644405e+00,9.74276501e+00
0.06200,2.36831849e+00,9.64929630e+00
0.06400,2.38795113e+00,9.55571038e+00
0.06600,2.40543696e+00,9.46210667e+00
0.06800,2.42086756e+00,9.36857727e+00
0.07000,2.43433123e+00,9.27520743e+00
0.07200,2.44591312e+00,9.18207591e+00
0.07400,2.45569531e+00,9.08925544e+00
0.07600,2.46375692e+00,8.99681303e+00
0.07800,2.47017422e+00,8.90481035e+00
0.08000,2.47502074e+00,8.81330403e+00
0.08200,2.47836733e+00,8.72234598e+00
0.08400,2.48028227e+00,8.63198371e+00
0.08600,2.48083135e+00,8.54226054e+00
0.08800,2.48007798e+00,8.45321593e+00
0.09000,2.47808323e+00,8.36488567e+00
0.09200,2.47490595e+00,8.27730213e+00
0.09400,2.47060283e+00,8.19049450e+00
0.09600,2.46522845e+00,8.10448894e+00
0.09800,2.45883541e+00,8.01930883e+00
0.10000,2.45147433e+00,7.93497491e+00
0.10200,2.44319398e+00,7.85150548e+00
0.10400,2.43404129e+00,7.76891654e+00
0.10600,2.42406145e+00,7.68722196e+00
0.10800,2.41329797e+00,7.60643360e+00
0.11000,2.40179270e+00,7.52656147e+00
0.11200,2.38958594e+00,7.44761384e+00
0.11400,2.37671645e+00,7.36959737e+00
0.11600,2.36322152e+00,7.29251722e+00
0.11800,2.34913702e+00,7.21637714e+00
0.12000,2.33449746e+00,7.14117960e+00
0.12200,2.31933601e+00,7.06692584e+00
0.12400,2.30368456e+00,6.99361602e+00
0.12600,2.28757380e+00,6.92124925e+00
0.12800,2.27103318e+00,6.84982367e+00
0.13000,2.25409103e+00,6.77933656e+00
0.13200,2.23677456e+00,6.70978439e+00
0.13400,2.21910991e+00,6.64116285e+00
0.13600,2.20112218e+00,6.57346699e+00
0.13800,2.18283547e+00,6.50669120e+00
0.14000,2.16427293e+00,6.44082928e+00
0.14200,2.14545675e+00,6.37587454e+00
0.14400,2.12640825e+00,6.31181977e+00
0.14600,2.10714786e+00,6.24865737e+00
0.14800,2.08769519e+00,6.18637930e+00
0.15000,2.06806902e+00,6.12497719e+00
0.15200,2.04828738e+00,6.06444235e+00
0.15400,2.02836750e+00,6.00476579e+00
0.15600,2.00832594e+00,5.94593828e+00
0.15800,1.98817850e+00,5.88795036e+00
0.16000,1.96794036e+00,5.83079237e+00
0.16200,1.94762599e+00,5.77445448e+00
0.16400,1.92724929e+00,5.71892673e+00
0.16600,1.90682349e+00,5.66419900e+00
0.16800,1.88636128e+00,5.61026110e+00
0.17000,1.86587477e+00,5.55710274e+00
0.17200,1.84537551e+00,5.50471358e+00
0.17400,1.82487453e+00,5.45308320e+00
0.17600,1.80438238e+00,5.40220118e+00
0.17800,1.78390908e+00,5.35205706e+00
0.18000,1.76346421e+00,5.30264040e+00
0.18200,1.74305686e+00,5.25394072e+00
0.18400,1.72269572e+00,5.20594762e+00
0.18600,1.70238903e+00,5.15865068e+00
0.18800,1.68214463e+00,5.11203954e+00
0.19000,1.66196998e+00,5.06610390e+00
0.19200,1.64187214e+00,5.02083348e+00
0.19400,1.62185783e+00,4.97621811e+00
0.19600,1.60193339e+00,4.93224766e+00
