r_bohr,u_c
0.00200,8.82451321e-02
0.00400,1.69834183e-01
0.00600,2.45067460e-01
0.00800,3.14234396e-01
0.01000,3.77613721e-01
0.01200,4.35473669e-01
0.01400,4.88072217e-01
0.01600,5.35657349e-01
0.01800,5.78467336e-01
0.02000,6.16731031e-01
0.02200,6.50668165e-01
0.02400,6.80489654e-01
0.02600,7.06397900e-01
0.02800,7.28587100e-01
0.03000,7.47243540e-01
0.03200,7.62545893e-01
0.03400,7.74665508e-01
0.03600,7.83766686e-01
0.03800,7.90006961e-01
0.04000,7.93537358e-01
0.04200,7.94502653e-01
0.04400,7.93041621e-01
0.04600,7.89287271e-01
0.04800,7.83367078e-01
0.05000,7.75403205e-01
0.05200,7.65512709e-01
0.05400,7.53807753e-01
0.05600,7.40395793e-01
0.05800,7.25379773e-01
0.06000,7.08858297e-01
0.06200,6.90925806e-01
0.06400,6.71672741e-01
0.06600,6.51185699e-01
0.06800,6.29547591e-01
0.07000,6.06837777e-01
0.07200,5.83132214e-01
0.07400,5.58503585e-01
0.07600,5.33021426e-01
0.07800,5.06752251e-01
0.08000,4.79759667e-01
0.08200,4.52104489e-01
0.08400,4.23844848e-01
0.08600,3.95036291e-01
0.08800,3.65731888e-01
0.09000,3.35982320e-01
0.09200,3.05835977e-01
0.09400,2.75339043e-01
0.09600,2.44535583e-01
0.09800,2.13467626e-01
0.10000,1.82175237e-01
0.10200,1.50696604e-01
0.10400,1.19068098e-01
0.10600,8.73243562e-02
0.10800,5.54983382e-02
0.11000,2.36213977e-02
0.11200,-8.27665678e-03
0.11400,-4.01675019e-02
0.11600,-7.20242411e-02
0.11800,-1.03821349e-01
0.12000,-1.35534617e-01
0.12200,-1.67141103e-01
0.12400,-1.98619079e-01
0.12600,-2.29947985e-01
0.12800,-2.61108383e-01
0.13000,-2.92081910e-01
0.13200,-3.22851237e-01
0.13400,-3.53400029e-01
0.13600,-3.83712902e-01
0.13800,-4.13775387e-01
0.14000,-4.43573892e-01
0.14200,-4.73095666e-01
0.14400,-5.02328768e-01
0.14600,-5.31262029e-01
0.14800,-5.59885026e-01
