r_bohr,u_c
0.00200,3.93600822e-02
0.00400,7.68411517e-02
0.00600,1.12498196e-01
0.00800,1.46384927e-01
0.01000,1.78553790e-01
0.01200,2.09055966e-01
0.01400,2.37941390e-01
0.01600,2.65258755e-01
0.01800,2.91055537e-01
0.02000,3.15378007e-01
0.02200,3.38271249e-01
0.02400,3.59779182e-01
0.02600,3.79944581e-01
0.02800,3.98809098e-01
0.03000,4.16413284e-01
0.03200,4.32796612e-01
0.03400,4.47997502e-01
0.03600,4.62053342e-01
0.03800,4.75000512e-01
0.04000,4.86874411e-01
0.04200,4.97709474e-01
0.04400,5.07539201e-01
0.04600,5.16396180e-01
0.04800,5.24312105e-01
0.05000,5.31317806e-01
0.05200,5.37443265e-01
0.05400,5.42717642e-01
0.05600,5.47169294e-01
0.05800,5.50825797e-01
0.06000,5.53713970e-01
0.06200,5.55859890e-01
0.06400,5.57288916e-01
0.06600,5.58025707e-01
0.06800,5.58094239e-01
0.07000,5.57517827e-01
0.07200,5.56319143e-01
0.07400,5.54520230e-01
0.07600,5.52142522e-01
0.07800,5.49206859e-01
0.08000,5.45733506e-01
0.08200,5.41742166e-01
0.08400,5.37251997e-01
0.08600,5.32281623e-01
0.08800,5.26849156e-01
0.09000,5.20972204e-01
0.09200,5.14667885e-01
0.09400,5.07952843e-01
0.09600,5.00843260e-01
0.09800,4.93354867e-01
0.10000,4.85502958e-01
0.10200,4.77302400e-01
0.10400,4.68767646e-01
0.10600,4.59912745e-01
0.10800,4.50751356e-01
0.11000,4.41296751e-01
0.11200,4.31561834e-01
0.11400,4.21559146e-01
0.11600,4.11300874e-01
0.11800,4.00798862e-01
0.12000,3.90064622e-01
0.12200,3.79109339e-01
0.12400,3.67943881e-01
0.12600,3.56578806e-01
0.12800,3.45024376e-01
0.13000,3.33290555e-01
0.13200,3.21387025e-01
0.13400,3.09323190e-01
0.13600,2.97108183e-01
0.13800,2.84750874e-01
0.14000,2.72259875e-01
0.14200,2.59643549e-01
0.14400,2.46910017e-01
0.14600,2.34067159e-01
0.14800,2.21122626e-01
0.15000,2.08083843e-01
0.15200,1.94958016e-01
0.15400,1.81752138e-01
0.15600,1.68472990e-01
0.15800,1.55127153e-01
0.16000,1.41721010e-01
0.16200,1.28260750e-01
0.16400,1.14752374e-01
0.16600,1.01201700e-01
0.16800,8.76143680e-02
0.17000,7.39958443e-02
0.17200,6.03514249e-02
0.17400,4.66862413e-02
0.17600,3.30052639e-02
0.17800,1.93133062e-02
0.18000,5.61502929e-03
0.18200,-8.08505480e-03
0.18400,-2.17825790e-02
0.18600,-3.54733175e-02
0.18800,-4.91531820e-02
0.19000,-6.28182187e-02
0.19200,-7.64646039e-02
0.19400,-9.00886416e-02
0.19600,-1.03686760e-01
0.19800,-1.17255506e-01
0.20000,-1.30791548e-01
0.20200,-1.44291666e-01
0.20400,-1.57752751e-01
0.20600,-1.71171806e-01
0.20800,-1.84545938e-01
0.21000,-1.97872355e-01
0.21200,-2.11148369e-01
0.21400,-2.24371388e-01
0.21600,-2.37538916e-01
0.21800,-2.50648548e-01
0.22000,-2.63697970e-01
0.22200,-2.76684958e-01
0.22400,-2.89607371e-01
0.22600,-3.02463153e-01
0.22800,-3.15250326e-01
0.23000,-3.27966996e-01
0.23200,-3.40611341e-01
0.23400,-3.53181617e-01
0.23600,-3.65676151e-01
0.23800,-3.78093342e-01
0.24000,-3.90431657e-01
0.24200,-4.02689631e-01
0.24400,-4.14865865e-01
0.24600,-4.26959021e-01
0.24800,-4.38967825e-01
0.25000,-4.50891062e-01
0.25200,-4.62727577e-01
0.25400,-4.74476271e-01
0.25600,-4.86136100e-01
0.25800,-4.97706075e-01
0.26000,-5.09185258e-01
0.26200,-5.20572764e-01
0.26400,-5.31867755e-01
0.26600,-5.43069443e-01
0.26800,-5.54177088e-01
0.27000,-5.65189993e-01
0.27200,-5.76107506e-01
0.27400,-5.86929019e-01
0.27600,-5.97653967e-01
0.27800,-6.08281822e-01
0.28000,-6.18812099e-01
0.28200,-6.29244350e-01
0.28400,-6.39578165e-01
0.28600,-6.49813170e-01
0.28800,-6.59949026e-01
0.29000,-6.69985428e-01
0.29200,-6.79922105e-01
0.29400,-6.89758819e-01
0.29600,-6.99495361e-01
0.29800,-7.09131556e-01
0.30000,-7.18667254e-01
0.30200,-7.28102338e-01
0.30400,-7.37436716e-01
0.30600,-7.46670325e-01
0.30800,-7.55803126e-01
0.31000,-7.64835107e-01
0.31200,-7.73766282e-01
0.31400,-7.82596684e-01
0.31600,-7.91326375e-01
0.31800,-7.99955436e-01
0.32000,-8.08483969e-01
0.32200,-8.16912101e-01
0.32400,-8.25239974e-01
0.32600,-8.33467756e-01
0.32800,-8.41595627e-01
0.33000,-8.49623793e-01
0.33200,-8.57552471e-01
0.33400,-8.65381899e-01
0.33600,-8.73112333e-01
0.33800,-8.80744041e-01
0.34000,-8.88277309e-01
0.34200,-8.95712439e-01
0.34400,-9.03049746e-01
0.34600,-9.10289559e-01
0.34800,-9.17432221e-01
0.35000,-9.24478088e-01
0.35200,-9.31427529e-01
0.35400,-9.38280925e-01
0.35600,-9.45038668e-01
0.35800,-9.51701161e-01
0.36000,-9.58268819e-01
0.36200,-9.64742067e-01
0.36400,-9.71121340e-01
0.36600,-9.77407082e-01
0.36800,-9.83599746e-01
0.37000,-9.89699795e-01
0.37200,-9.95707699e-01
0.37400,-1.00162394e+00
0.37600,-1.00744900e+00
0.37800,-1.01318338e+00
0.38000,-1.01882757e+00
0.38200,-1.02438209e+00
0.38400,-1.02984744e+00
0.38600,-1.03522416e+00
0.38800,-1.04051276e+00
0.39000,-1.04571377e+00
0.39200,-1.05082775e+00
0.39400,-1.05585522e+00
0.39600,-1.06079673e+00
0.39800,-1.06565283e+00
0.40000,-1.07042409e+00
0.40200,-1.07511105e+00
0.40400,-1.07971429e+00
0.40600,-1.08423436e+00
0.40800,-1.08867184e+00
0.41000,-1.09302731e+00
0.41200,-1.09730133e+00
0.41400,-1.10149448e+00
0.41600,-1.10560735e+00
0.41800,-1.10964051e+00
0.42000,-1.11359456e+00
0.42200,-1.11747008e+00
0.42400,-1.12126765e+00
0.42600,-1.12498787e+00
0.42800,-1.12863132e+00
0.43000,-1.13219860e+00
0.43200,-1.13569030e+00
0.43400,-1.13910702e+00
0.43600,-1.14244934e+00
0.43800,-1.14571787e+00
0.44000,-1.14891320e+00
0.44200,-1.15203591e+00
0.44400,-1.15508662e+00
0.44600,-1.15806591e+00
0.44800,-1.16097437e+00
0.45000,-1.16381261e+00
0.45200,-1.16658121e+00
0.45400,-1.16928078e+00
0.45600,-1.17191189e+00
0.45800,-1.17447515e+00
0.46000,-1.17697114e+00
0.46200,-1.17940046e+00
0.46400,-1.18176368e+00
0.46600,-1.18406142e+00
0.46800,-1.18629423e+00
0.47000,-1.18846272e+00
0.47200,-1.19056747e+00
0.47400,-1.19260905e+00
0.47600,-1.19458805e+00
0.47800,-1.19650505e+00
