point_id,t,E_expt_eV
1,0.00059,-10.576
2,0.09232,-10.6424
3,0.15017,-10.5826
4,0.20097,-10.189
5,0.26672,-10.2085
6,0.27788,-9.8266
7,0.32328,-9.8465
8,0.35649,-9.6336
9,0.37135,-9.9354
10,0.38308,-9.6117
11,0.39813,-9.5159
12,0.4278,-9.4356
13,0.43645,-9.181
14,0.45266,-9.2177
15,0.45987,-9.1115
16,0.4629,-8.9842
17,0.49287,-8.6442
18,0.50315,-8.4478
19,0.51059,-8.6225
20,0.52128,-8.2936
21,0.54139,-8.0069
22,0.56746,-7.9903
23,0.57137,-7.6721
24,0.60337,-7.2632
25,0.60356,-7.4911
26,0.62265,-7.2362
27,0.62332,-7.411
28,0.63198,-7.1617
29,0.63762,-7.0397
30,0.65247,-6.7053
31,0.65316,-6.9014
32,0.65431,-7.0339
33,0.66561,-6.8269
34,0.66695,-6.546
35,0.66706,-6.6785
36,0.68001,-6.5721
37,0.70375,-6.2641
38,0.70447,-6.5026
39,0.71744,-6.4121
40,0.72831,-6.3058
41,0.73024,-6.115
42,0.74655,-5.6481
43,0.74999,-6.0243
44,0.75353,-5.8917
45,0.75704,-5.722
46,0.77306,-5.5361
47,0.78705,-5.4244
48,0.79989,-5.175
49,0.81181,-5.0792
50,0.81532,-4.9148
51,0.86053,-4.0656
52,0.87199,-0.2333
53,0.89012,-0.7098
54,0.89531,-3.858
55,0.89956,-0.7732
56,0.90488,-0.9002
57,0.91745,-0.9635
58,0.93055,-1.0267
59,0.95984,-1.1214
60,0.98595,-1.1578
61,0.99103,-2.9014
