point_id,t
1,0.00059
2,0.09232
3,0.15017
4,0.20097
5,0.26672
6,0.27788
7,0.32328
8,0.35649
9,0.37135
10,0.38308
11,0.39813
12,0.4278
13,0.43645
14,0.45266
15,0.45987
16,0.4629
17,0.49287
18,0.50315
19,0.51059
20,0.52128
21,0.54139
22,0.56746
23,0.57137
24,0.60337
25,0.60356
26,0.62265
27,0.62332
28,0.63198
29,0.63762
30,0.65247
31,0.65316
32,0.65431
33,0.66561
34,0.66695
35,0.66706
36,0.68001
37,0.70375
38,0.70447
39,0.71744
40,0.72831
41,0.73024
42,0.74655
43,0.74999
44,0.75353
45,0.75704
46,0.77306
47,0.78705
48,0.79989
49,0.81181
50,0.81532
51,0.86053
52,0.87199
53,0.89012
54,0.89531
55,0.89956
56,0.90488
57,0.91745
58,0.93055
59,0.95984
60,0.98595
61,0.99103
