point_id,t,E_expt_eV
1,0.08014,-5.9211
2,0.09776,-6.1344
3,0.1098,-5.9519
4,0.18512,-5.8311
5,0.19876,-6.0748
6,0.20091,-5.882
7,0.21485,-5.7909
8,0.25222,-6.0552
9,0.26398,-6.1873
10,0.30952,-6.1675
11,0.32336,-6.188
12,0.32345,-6.0764
13,0.33929,-6.0766
14,0.39067,-6.1686
15,0.39277,-6.0265
16,0.40849,-6.1587
17,0.41257,-6.0268
18,0.46594,-6.0985
19,0.49376,-5.9771
20,0.4996,-6.0888
21,0.50759,-6.0077
22,0.57478,-6.1303
23,0.5749,-5.9984
24,0.60261,-5.9988
25,0.60288,-5.6943
26,0.64411,-6.0703
27,0.66784,-6.0909
28,0.67784,-5.9794
29,0.74349,-5.6048
30,0.75106,-5.9905
31,0.75909,-5.8689
32,0.7769,-5.8691
33,0.86431,-5.5049
34,0.95565,-5.1813
35,0.97555,-5.0598
36,0.94526,-5.0405
37,0.92946,-5.0813
38,0.92742,-5.0103
39,0.86199,-4.8894
40,0.85015,-4.9301
41,0.83823,-4.8694
42,0.83608,-4.6867
43,0.79652,-4.7075
44,0.77473,-4.6875
45,0.77464,-4.586
46,0.66651,-4.3033
47,0.66446,-4.2171
48,0.64859,-4.1868
49,0.63269,-4.1109
50,0.60991,-4.0909
51,0.56911,-3.8377
52,0.5444,-3.8736
53,0.54229,-3.7265
54,0.47071,-3.357
55,0.45596,-3.4637
56,0.44005,-3.3827
57,0.39449,-3.3427
58,0.38834,-3.1043
59,0.35749,-2.9119
60,0.35671,-3.1453
61,0.29811,-2.9127
62,0.27311,-2.6238
63,0.27236,-2.8876
64,0.22552,-2.5229
65,0.19902,-0.5495
66,0.19819,-0.722
67,0.1957,-2.3711
68,0.19477,-2.4472
69,0.19337,-0.8692
70,0.18048,-0.844
71,0.17426,-0.5245
72,0.16146,-0.6058
73,0.15459,-0.6617
74,0.15176,-0.819
75,0.14386,-0.8394
76,0.13413,-1.0324
77,0.13108,-0.9411
78,0.12148,-2.3771
79,0.11898,-0.6875
80,0.11763,-2.4989
81,0.10622,-0.7993
82,0.10545,-2.1642
83,0.0817,-1.0533
84,0.03616,-1.0336
85,0.03409,-0.9372
86,0.02017,-0.8613
87,0.0,-1.7292
88,0.0,-1.0189
