r_bohr,u_c,V_H_c
0.00200,3.34351426e-01,1.95602912e+01
0.00400,6.42507309e-01,1.95990127e+01
0.00600,9.26027439e-01,1.95910127e+01
0.00800,1.18639083e+00,1.95418735e+01
0.01000,1.42499889e+00,1.94566342e+01
0.01200,1.64317864e+00,1.93398399e+01
0.01400,1.84218595e+00,1.91955858e+01
0.01600,2.02320874e+00,1.90275583e+01
0.01800,2.18737013e+00,1.88390723e+01
0.02000,2.33573153e+00,1.86331053e+01
0.02200,2.46929564e+00,1.84123287e+01
0.02400,2.58900939e+00,1.81791365e+01
0.02600,2.69576671e+00,1.79356707e+01
0.02800,2.79041131e+00,1.76838455e+01
0.03000,2.87373919e+00,1.74253685e+01
0.03200,2.94650119e+00,1.71617607e+01
0.03400,3.00940538e+00,1.68943739e+01
0.03600,3.06311930e+00,1.66244074e+01
0.03800,3.10827211e+00,1.63529224e+01
0.04000,3.14545671e+00,1.60808556e+01
0.04200,3.17523166e+00,1.58090314e+01
0.04400,3.19812302e+00,1.55381729e+01
0.04600,3.21462617e+00,1.52689119e+01
0.04800,3.22520745e+00,1.50017983e+01
0.05000,3.23030573e+00,1.47373080e+01
0.05200,3.23033397e+00,1.44758507e+01
0.05400,3.22568058e+00,1.42177763e+01
0.05600,3.21671083e+00,1.39633817e+01
0.05800,3.20376805e+00,1.37129159e+01
0.06000,3.18717492e+00,1.34665850e+01
0.06200,3.16723457e+00,1.32245572e+01
0.06400,3.14423164e+00,1.29869666e+01
0.06600,3.11843336e+00,1.27539170e+01
0.06800,3.09009046e+00,1.25254854e+01
0.07000,3.05943812e+00,1.23017250e+01
0.07200,3.02669681e+00,1.20826678e+01
0.07400,2.99207315e+00,1.18683274e+01
0.07600,2.95576063e+00,1.16587010e+01
0.07800,2.91794039e+00,1.14537716e+01
0.08000,2.87878187e+00,1.12535095e+01
0.08200,2.83844349e+00,1.10578744e+01
0.08400,2.79707329e+00,1.08668166e+01
0.08600,2.75480947e+00,1.06802783e+01
0.08800,2.71178096e+00,1.04981948e+01
0.09000,2.66810799e+00,1.03204958e+01
0.09200,2.62390250e+00,1.01471059e+01
0.09400,2.57926870e+00,9.97794599e+00
0.09600,2.53430345e+00,9.81293355e+00
0.09800,2.48909672e+00,9.65198357e+00
0.10000,2.44373198e+00,9.49500906e+00
0.10200,2.39828654e+00,9.34192164e+00
0.10400,2.35283197e+00,9.19263196e+00
0.10600,2.30743439e+00,9.04705014e+00
0.10800,2.26215481e+00,8.90508613e+00
0.11000,2.21704944e+00,8.76665004e+00
0.11200,2.17216994e+00,8.63165239e+00
0.11400,2.12756373e+00,8.50000441e+00
0.11600,2.08327424e+00,8.37161819e+00
0.11800,2.03934113e+00,8.24640689e+00
0.12000,1.99580053e+00,8.12428492e+00
0.12200,1.95268527e+00,8.00516802e+00
0.12400,1.91002508e+00,7.88897342e+00
0.12600,1.86784677e+00,7.77561987e+00
0.12800,1.82617441e+00,7.66502780e+00
0.13000,1.78502954e+00,7.55711930e+00
0.13200,1.74443130e+00,7.45181821e+00
0.13400,1.70439659e+00,7.34905015e+00
0.13600,1.66494021e+00,7.24874251e+00
0.13800,1.62607503e+00,7.15082453e+00
0.14000,1.58781207e+00,7.05522725e+00
0.14200,1.55016068e+00,6.96188351e+00
0.14400,1.51312861e+00,6.87072799e+00
0.14600,1.47672213e+00,6.78169714e+00
0.14800,1.44094614e+00,6.69472923e+00
0.15000,1.40580428e+00,6.60976424e+00
0.15200,1.37129899e+00,6.52674392e+00
0.15400,1.33743162e+00,6.44561172e+00
0.15600,1.30420251e+00,6.36631275e+00
0.15800,1.27161105e+00,6.28879380e+00
0.16000,1.23965578e+00,6.21300323e+00
0.16200,1.20833442e+00,6.13889100e+00
0.16400,1.17764397e+00,6.06640860e+00
0.16600,1.14758074e+00,5.99550904e+00
0.16800,1.11814045e+00,5.92614677e+00
0.17000,1.08931822e+00,5.85827769e+00
0.17200,1.06110868e+00,5.79185906e+00
0.17400,1.03350596e+00,5.72684951e+00
0.17600,1.00650381e+00,5.66320899e+00
0.17800,9.80095561e-01,5.60089870e+00
0.18000,9.54274201e-01,5.53988111e+00
0.18200,9.29032420e-01,5.48011985e+00
0.18400,9.04362624e-01,5.42157975e+00
0.18600,8.80256978e-01,5.36422676e+00
0.18800,8.56707433e-01,5.30802790e+00
0.19000,8.33705751e-01,5.25295127e+00
0.19200,8.11243533e-01,5.19896600e+00
0.19400,7.89312244e-01,5.14604219e+00
0.19600,7.67903234e-01,5.09415092e+00
0.19800,7.47007760e-01,5.04326418e+00
0.20000,7.26617003e-01,4.99335488e+00
0.20200,7.06722091e-01,4.94439678e+00
0.20400,6.87314110e-01,4.89636447e+00
0.20600,6.68384126e-01,4.84923339e+00
0.20800,6.49923191e-01,4.80297972e+00
0.21000,6.31922367e-01,4.75758042e+00
0.21200,6.14372730e-01,4.71301317e+00
0.21400,5.97265383e-01,4.66925637e+00
0.21600,5.80591470e-01,4.62628909e+00
0.21800,5.64342184e-01,4.58409106e+00
0.22000,5.48508773e-01,4.54264265e+00
0.22200,5.33082552e-01,4.50192485e+00
0.22400,5.18054908e-01,4.46191922e+00
0.22600,5.03417310e-01,4.42260793e+00
0.22800,4.89161310e-01,4.38397367e+00
0.23000,4.75278553e-01,4.34599967e+00
0.23200,4.61760781e-01,4.30866969e+00
0.23400,4.48599834e-01,4.27196798e+00
0.23600,4.35787661e-01,4.23587927e+00
0.23800,4.23316316e-01,4.20038875e+00
0.24000,4.11177967e-01,4.16548206e+00
0.24200,3.99364896e-01,4.13114528e+00
0.24400,3.87869500e-01,4.09736490e+00
0.24600,3.76684297e-01,4.06412782e+00
0.24800,3.65801925e-01,4.03142132e+00
0.25000,3.55215144e-01,3.99923307e+00
0.25200,3.44916835e-01,3.96755108e+00
0.25400,3.34900007e-01,3.93636375e+00
0.25600,3.25157790e-01,3.90565978e+00
0.25800,3.15683441e-01,3.87542822e+00
0.26000,3.06470341e-01,3.84565842e+00
0.26200,2.97511997e-01,3.81634007e+00
0.26400,2.88802041e-01,3.78746312e+00
0.26600,2.80334229e-01,3.75901782e+00
0.26800,2.72102443e-01,3.73099469e+00
0.27000,2.64100686e-01,3.70338454e+00
0.27200,2.56323086e-01,3.67617840e+00
0.27400,2.48763892e-01,3.64936758e+00
0.27600,2.41417474e-01,3.62294362e+00
0.27800,2.34278322e-01,3.59689830e+00
0.28000,2.27341045e-01,3.57122362e+00
0.28200,2.20600370e-01,3.54591180e+00
0.28400,2.14051138e-01,3.52095527e+00
0.28600,2.07688307e-01,3.49634666e+00
0.28800,2.01506947e-01,3.47207882e+00
0.29000,1.95502242e-01,3.44814477e+00
0.29200,1.89669483e-01,3.42453771e+00
0.29400,1.84004071e-01,3.40125104e+00
0.29600,1.78501516e-01,3.37827833e+00
0.29800,1.73157432e-01,3.35561331e+00
0.30000,1.67967534e-01,3.33324987e+00
0.30200,1.62927645e-01,3.31118207e+00
0.30400,1.58033682e-01,3.28940412e+00
0.30600,1.53281666e-01,3.26791037e+00
0.30800,1.48667711e-01,3.24669532e+00
0.31000,1.44188027e-01,3.22575361e+00
0.31200,1.39838920e-01,3.20508002e+00
0.31400,1.35616783e-01,3.18466945e+00
0.31600,1.31518104e-01,3.16451692e+00
0.31800,1.27539454e-01,3.14461761e+00
0.32000,1.23677494e-01,3.12496677e+00
0.32200,1.19928969e-01,3.10555981e+00
0.32400,1.16290705e-01,3.08639222e+00
0.32600,1.12759611e-01,3.06745961e+00
0.32800,1.09332676e-01,3.04875770e+00
0.33000,1.06006965e-01,3.03028231e+00
0.33200,1.02779620e-01,3.01202937e+00
0.33400,9.96478571e-02,2.99399487e+00
0.33600,9.66089666e-02,2.97617495e+00
0.33800,9.36603087e-02,2.95856579e+00
0.34000,9.07993137e-02,2.94116369e+00
0.34200,8.80234798e-02,2.92396502e+00
0.34400,8.53303720e-02,2.90696624e+00
