element,point_id,t,E_pred_eV
Ca,1,0.000000,-3.208585
Ca,1,0.000000,1.477275
Ca,2,0.050000,-3.196682
Ca,2,0.050000,1.467901
Ca,3,0.100000,-3.161043
Ca,3,0.100000,1.440237
Ca,4,0.150000,-3.101884
Ca,4,0.150000,1.395484
Ca,5,0.200000,-3.019575
Ca,5,0.200000,1.335906
Ca,6,0.250000,-2.914665
Ca,6,0.250000,1.263316
Ca,7,0.300000,-2.787868
Ca,7,0.300000,1.181270
Ca,8,0.350000,-2.640195
Ca,8,0.350000,1.092962
Ca,9,0.400000,-2.472936
Ca,9,0.400000,1.001152
Ca,10,0.450000,-2.287755
Ca,10,0.450000,0.905918
Ca,11,0.500000,-2.086903
Ca,11,0.500000,0.813499
Ca,12,0.550000,-1.873302
Ca,12,0.550000,0.724396
Ca,13,0.600000,-1.650937
Ca,13,0.600000,0.640244
Ca,14,0.650000,-1.425139
Ca,14,0.650000,0.562706
Ca,15,0.700000,-1.203091
Ca,15,0.700000,0.493190
Ca,16,0.750000,-0.993929
Ca,16,0.750000,0.432610
Ca,17,0.800000,-0.808615
Ca,17,0.800000,0.381481
Ca,18,0.850000,-0.657844
Ca,18,0.850000,0.341734
Ca,19,0.900000,-0.549725
Ca,19,0.900000,0.312692
Ca,20,0.950000,-0.485193
Ca,20,0.950000,0.295401
Ca,21,1.000000,-0.463935
Ca,21,1.000000,0.289570
