element,point_id,t,E_pred_eV
K,1,0.533330,-1.045587
K,1,0.533330,2.040278
K,2,0.472220,-1.182896
K,2,0.472220,2.241041
K,3,0.227780,-1.576451
K,3,0.227780,2.898004
K,4,0.055560,-1.691604
K,4,0.055560,3.059019
K,5,0.050000,-1.692997
K,5,0.050000,3.060730
K,6,0.222220,-1.582334
K,6,0.222220,2.907683
K,7,0.352780,-1.407572
K,7,0.352780,2.605315
K,8,0.461110,-1.206282
K,8,0.461110,2.276781
K,9,0.519440,-1.078057
K,9,0.519440,2.086451
K,10,0.647220,-0.753051
K,10,0.647220,1.653204
