element,point_id,t,E_pred_eV
Mg,1,0.080140,-6.350365
Mg,1,0.080140,-1.815866
Mg,1,0.080140,-0.944470
Mg,1,0.080140,9.438327
Mg,2,0.097760,-6.346373
Mg,2,0.097760,-1.889904
Mg,2,0.097760,-0.863602
Mg,2,0.097760,9.421426
Mg,3,0.109800,-6.343191
Mg,3,0.109800,-1.941408
Mg,3,0.109800,-0.806666
Mg,3,0.109800,9.407750
Mg,4,0.185120,-6.314902
Mg,4,0.185120,-2.267655
Mg,4,0.185120,-0.432097
Mg,4,0.185120,9.278890
Mg,5,0.198760,-6.308237
Mg,5,0.198760,-2.326482
Mg,5,0.198760,-0.361889
Mg,5,0.198760,9.246812
Mg,6,0.200910,-6.307144
Mg,6,0.200910,-2.335739
Mg,6,0.200910,-0.350770
Mg,6,0.200910,9.241493
Mg,7,0.214850,-6.299767
Mg,7,0.214850,-2.395567
Mg,7,0.214850,-0.278338
Mg,7,0.214850,9.205240
Mg,8,0.252220,-6.277550
Mg,8,0.252220,-2.554482
Mg,8,0.252220,-0.081489
Mg,8,0.252220,9.092589
Mg,9,0.263980,-6.269825
Mg,9,0.263980,-2.603993
Mg,9,0.263980,-0.018785
Mg,9,0.263980,9.052398
Mg,10,0.309520,-6.236594
Mg,10,0.309520,-2.793264
Mg,10,0.309520,0.227214
Mg,11,0.323360,-6.225453
Mg,11,0.323360,-2.849970
Mg,11,0.323360,0.302940
Mg,12,0.323450,-6.225380
Mg,12,0.323450,-2.850339
Mg,12,0.323450,0.303433
Mg,13,0.339290,-6.212028
Mg,13,0.339290,-2.914755
Mg,13,0.339290,0.390640
Mg,14,0.390670,-6.164342
Mg,14,0.390670,-3.120069
Mg,14,0.390670,0.677320
Mg,15,0.392770,-6.162252
Mg,15,0.392770,-3.128340
Mg,15,0.392770,0.689158
Mg,16,0.408490,-6.146243
Mg,16,0.408490,-3.189949
Mg,16,0.408490,0.778077
Mg,17,0.412570,-6.141986
Mg,17,0.412570,-3.205852
Mg,17,0.412570,0.801240
Mg,18,0.465940,-6.082423
Mg,18,0.465940,-3.410472
Mg,18,0.465940,1.107426
Mg,19,0.493760,-6.048524
Mg,19,0.493760,-3.514604
Mg,19,0.493760,1.269345
Mg,20,0.499600,-6.041160
Mg,20,0.499600,-3.536245
Mg,20,0.499600,1.303528
Mg,21,0.507590,-6.030946
Mg,21,0.507590,-3.565722
Mg,21,0.507590,1.350412
Mg,22,0.574780,-5.938687
Mg,22,0.574780,-3.807842
Mg,22,0.574780,1.749639
Mg,23,0.574900,-5.938514
Mg,23,0.574900,-3.808265
Mg,23,0.574900,1.750358
Mg,24,0.602610,-5.897152
Mg,24,0.602610,-3.905079
Mg,24,0.602610,1.917560
Mg,25,0.602880,-5.896740
Mg,25,0.602880,-3.906015
Mg,25,0.602880,1.919191
Mg,26,0.644110,-5.831603
Mg,26,0.644110,-4.046732
Mg,26,0.644110,2.170670
Mg,27,0.667840,-5.792185
Mg,27,0.667840,-4.125926
Mg,27,0.667840,2.316842
Mg,28,0.677840,-5.775152
Mg,28,0.677840,-4.158902
Mg,28,0.677840,2.378743
Mg,29,0.743490,-5.657128
Mg,29,0.743490,-4.369518
Mg,29,0.743490,2.789603
Mg,30,0.751060,-5.642830
Mg,30,0.751060,-4.393154
Mg,30,0.751060,2.837464
Mg,31,0.759090,-5.627506
Mg,31,0.759090,-4.418072
Mg,31,0.759090,2.888342
Mg,32,0.776900,-5.592946
Mg,32,0.776900,-4.472788
Mg,32,0.776900,3.001585
Mg,33,0.864310,-5.411918
Mg,33,0.864310,-4.730332
Mg,33,0.864310,3.564966
Mg,34,0.955650,-5.202610
Mg,34,0.955650,-4.979784
Mg,34,0.955650,4.166302
Mg,35,0.975550,-5.154294
Mg,35,0.975550,-5.031446
Mg,35,0.975550,4.298885
Mg,36,0.945260,-5.227456
Mg,36,0.945260,-4.952426
Mg,36,0.945260,4.097296
Mg,37,0.929460,-5.264727
Mg,37,0.929460,-4.910325
Mg,37,0.929460,3.992649
Mg,38,0.927420,-5.269494
Mg,38,0.927420,-4.904845
Mg,38,0.927420,3.979159
Mg,39,0.861990,-5.416969
Mg,39,0.861990,-4.723728
Mg,39,0.861990,3.549860
Mg,40,0.850150,-5.442531
Mg,40,0.850150,-4.689855
Mg,40,0.850150,3.472868
Mg,41,0.838230,-5.467914
Mg,41,0.838230,-4.655409
Mg,41,0.838230,3.395582
Mg,42,0.836080,-5.472455
Mg,42,0.836080,-4.649160
Mg,42,0.836080,3.381664
Mg,43,0.796520,-5.553960
Mg,43,0.796520,-4.532187
Mg,43,0.796520,3.126951
Mg,44,0.774730,-5.597199
Mg,44,0.774730,-4.466162
Mg,44,0.774730,2.987761
Mg,45,0.774640,-5.597375
Mg,45,0.774640,-4.465887
Mg,45,0.774640,2.987182
Mg,46,0.666510,-5.794431
Mg,46,0.666510,-4.121523
Mg,46,0.666510,2.308624
Mg,47,0.664460,-5.797886
Mg,47,0.664460,-4.114728
Mg,47,0.664460,2.295956
Mg,48,0.648590,-5.824270
Mg,48,0.648590,-4.061788
Mg,48,0.648590,2.198187
Mg,49,0.632690,-5.850072
Mg,49,0.632690,-4.008156
Mg,49,0.632690,2.100697
Mg,50,0.609910,-5.885935
Mg,50,0.609910,-3.930288
Mg,50,0.609910,1.961848
Mg,51,0.569110,-5.946913
Mg,51,0.569110,-3.787809
Mg,51,0.569110,1.715616
Mg,52,0.544400,-5.981810
Mg,52,0.544400,-3.699650
Mg,52,0.544400,1.568035
Mg,53,0.542290,-5.984719
Mg,53,0.542290,-3.692057
Mg,53,0.542290,1.555487
Mg,54,0.470710,-6.076749
Mg,54,0.470710,-3.428451
Mg,54,0.470710,1.135077
Mg,55,0.455960,-6.094109
Mg,55,0.455960,-3.372690
Mg,55,0.455960,1.049725
Mg,56,0.440050,-6.112216
Mg,56,0.440050,-3.312001
Mg,56,0.440050,0.958159
Mg,57,0.394490,-6.160530
Mg,57,0.394490,-3.135099
Mg,57,0.394490,0.698870
Mg,58,0.388340,-6.166650
Mg,58,0.388340,-3.110880
Mg,58,0.388340,0.664196
Mg,59,0.357490,-6.195902
Mg,59,0.357490,-2.988119
Mg,59,0.357490,0.491533
Mg,60,0.356710,-6.196611
Mg,60,0.356710,-2.984996
Mg,60,0.356710,0.487190
Mg,61,0.298110,-6.245414
Mg,61,0.298110,-2.746222
Mg,61,0.298110,0.165116
Mg,62,0.273110,-6.263585
Mg,62,0.273110,-2.642253
Mg,62,0.273110,0.030134
Mg,63,0.272360,-6.264106
Mg,63,0.272360,-2.639121
Mg,63,0.272360,0.026106
Mg,64,0.225520,-6.293785
Mg,64,0.225520,-2.441174
Mg,64,0.225520,-0.222520
Mg,64,0.225520,9.175394
Mg,65,0.199020,-6.308107
Mg,65,0.199020,-2.327598
Mg,65,0.199020,-0.360543
Mg,65,0.199020,9.246176
Mg,66,0.198190,-6.308527
Mg,66,0.198190,-2.324034
Mg,66,0.198190,-0.364835
Mg,66,0.198190,9.248210
Mg,67,0.195700,-6.309776
Mg,67,0.195700,-2.313311
Mg,67,0.195700,-0.377691
Mg,67,0.195700,9.254259
Mg,68,0.194770,-6.310238
Mg,68,0.194770,-2.309304
Mg,68,0.194770,-0.382488
Mg,68,0.194770,9.256493
Mg,69,0.193370,-6.310930
Mg,69,0.193370,-2.303270
Mg,69,0.193370,-0.389704
Mg,69,0.193370,9.259832
Mg,70,0.180480,-6.317065
Mg,70,0.180480,-2.247606
Mg,70,0.180480,-0.455844
Mg,70,0.180480,9.289155
Mg,71,0.174260,-6.319874
Mg,71,0.174260,-2.220689
Mg,71,0.174260,-0.487562
Mg,71,0.174260,9.302412
Mg,72,0.161460,-6.325346
Mg,72,0.161460,-2.165197
Mg,72,0.161460,-0.552396
Mg,72,0.161460,9.327899
Mg,73,0.154590,-6.328111
Mg,73,0.154590,-2.135382
Mg,73,0.154590,-0.586937
Mg,73,0.154590,9.340608
Mg,74,0.151760,-6.329215
Mg,74,0.151760,-2.123094
Mg,74,0.151760,-0.601110
Mg,74,0.151760,9.345649
Mg,75,0.143860,-6.332188
Mg,75,0.143860,-2.088790
Mg,75,0.143860,-0.640493
Mg,75,0.143860,9.359130
Mg,76,0.134130,-6.335633
Mg,76,0.134130,-2.046560
Mg,76,0.134130,-0.688607
Mg,76,0.134130,9.374570
Mg,77,0.131080,-6.336663
Mg,77,0.131080,-2.033335
Mg,77,0.131080,-0.703593
Mg,77,0.131080,9.379150
Mg,78,0.121480,-6.339751
Mg,78,0.121480,-1.991768
Mg,78,0.121480,-0.750432
Mg,78,0.121480,9.392767
Mg,79,0.118980,-6.340516
Mg,79,0.118980,-1.980968
Mg,79,0.118980,-0.762543
Mg,79,0.118980,9.396119
Mg,80,0.117630,-6.340923
Mg,80,0.117630,-1.975139
Mg,80,0.117630,-0.769066
Mg,80,0.117630,9.397896
Mg,81,0.106220,-6.344176
Mg,81,0.106220,-1.926043
Mg,81,0.106220,-0.823715
Mg,81,0.106220,9.412000
Mg,82,0.105450,-6.344384
Mg,82,0.105450,-1.922746
Mg,82,0.105450,-0.827371
Mg,82,0.105450,9.412893
Mg,83,0.081700,-6.350044
Mg,83,0.081700,-1.822332
Mg,83,0.081700,-0.937454
