element,point_id,t,E_pred_eV
Na,1,0.841529,-0.299368
Na,1,0.841529,1.847893
Na,2,0.816848,-0.437027
Na,2,0.816848,2.037299
Na,3,0.808640,-0.482040
Na,3,0.808640,2.101170
Na,4,0.783979,-0.614856
Na,4,0.783979,2.295641
Na,5,0.751071,-0.786325
Na,5,0.751071,2.561002
Na,6,0.680998,-1.128790
Na,6,0.680998,3.147649
Na,7,0.643928,-1.297197
Na,7,0.643928,3.469594
Na,8,0.598555,-1.491114
Na,8,0.598555,3.874329
Na,9,0.582130,-1.557967
Na,9,0.582130,4.023706
Na,10,0.478956,-1.936729
Na,10,0.478956,4.996116
Na,11,0.359135,-2.286189
Na,11,0.359135,6.196304
Na,12,0.297153,-2.428293
Na,12,0.297153,6.844627
Na,13,0.292905,-2.437063
Na,13,0.292905,6.889667
Na,14,0.230884,-2.550792
Na,14,0.230884,7.554830
Na,15,0.172939,-2.632839
Na,15,0.172939,8.183946
Na,16,0.110860,-2.694687
Na,16,0.110860,8.845647
Na,17,0.057038,-2.726430
Na,17,0.057038,9.343600
Na,18,0.052809,-2.728063
Na,18,0.052809,9.374918
Na,19,0.042515,-2.731511
Na,19,0.042515,9.443473
Na,20,0.133793,-2.674982
Na,20,0.133793,8.605475
Na,21,0.229262,-2.553409
Na,21,0.229262,7.572383
Na,22,0.316369,-2.387072
Na,22,0.316369,6.641794
Na,23,0.411934,-2.144280
Na,23,0.411934,5.658411
Na,24,0.511748,-1.824090
Na,24,0.511748,4.680754
Na,25,0.574125,-1.589890
Na,25,0.574125,4.097055
Na,26,0.653391,-1.255053
Na,26,0.653391,3.386656
Na,27,0.707697,-1.001991
Na,27,0.707697,2.920724
Na,28,0.719911,-0.942469
Na,28,0.719911,2.818291
Na,29,0.761760,-0.731368
Na,29,0.761760,2.474084
Na,30,0.790854,-0.578193
Na,30,0.790854,2.241043
Na,31,0.820295,-0.418011
Na,31,0.820295,2.010606
