element,point_id,t,E_pred_eV
Al,1,0.000590,-10.683264
Al,1,0.000590,11.807883
Al,2,0.092320,-10.609636
Al,2,0.092320,10.734743
Al,3,0.150170,-10.488494
Al,3,0.150170,10.038730
Al,4,0.200970,-10.334614
Al,4,0.200970,9.466851
Al,5,0.266720,-10.069741
Al,5,0.266720,8.775937
Al,6,0.277880,-10.017533
Al,6,0.277880,8.664046
Al,7,0.323280,-9.782854
Al,7,0.323280,8.226072
Al,8,0.356490,-9.589122
Al,8,0.356490,7.922417
Al,9,0.371350,-9.496533
Al,9,0.371350,7.791021
Al,10,0.383080,-9.420608
Al,10,0.383080,7.689686
Al,11,0.398130,-9.320066
Al,11,0.398130,7.562064
Al,12,0.427800,-9.110253
Al,12,0.427800,7.319699
Al,13,0.436450,-9.046593
Al,13,0.436450,7.251102
Al,14,0.452660,-8.923616
Al,14,0.452660,7.125351
Al,15,0.459870,-8.867270
Al,15,0.459870,7.070779
Al,16,0.462900,-8.843449
Al,16,0.462900,7.048049
Al,17,0.492870,-8.599260
Al,17,0.492870,6.829150
Al,18,0.503150,-8.512402
Al,18,0.503150,6.756865
Al,19,0.510590,-8.448135
Al,19,0.510590,6.705525
Al,20,0.521280,-8.354496
Al,20,0.521280,6.632940
Al,21,0.541390,-8.172762
Al,21,0.541390,6.500883
Al,22,0.567460,-7.927808
Al,22,0.567460,6.080357
Al,23,0.571370,-7.890140
Al,23,0.571370,5.995593
Al,24,0.603370,-7.572444
Al,24,0.603370,5.317596
Al,25,0.603560,-7.570508
Al,25,0.603560,5.313652
Al,26,0.622650,-7.373310
Al,26,0.622650,4.912792
Al,27,0.623320,-7.366127
Al,27,0.623320,4.898768
Al,28,0.631980,-7.274684
Al,28,0.631980,4.717919
Al,29,0.637620,-7.214391
Al,29,0.637620,4.600742
Al,30,0.652470,-7.053498
Al,30,0.652470,4.293438
Al,31,0.653160,-7.045815
Al,31,0.653160,4.279199
Al,32,0.654310,-7.033203
Al,32,0.654310,4.255502
Al,33,0.665610,-6.908155
Al,33,0.665610,4.023383
Al,34,0.666950,-6.893094
Al,34,0.666950,3.995921
Al,35,0.667060,-6.891866
Al,35,0.667060,3.993684
Al,36,0.680010,-6.745864
Al,36,0.680010,3.729561
Al,37,0.703750,-6.471467
Al,37,0.703750,3.250273
Al,38,0.704470,-6.462844
Al,38,0.704470,3.235826
Al,39,0.717440,-6.309256
Al,39,0.717440,2.976920
Al,40,0.728310,-6.178502
Al,40,0.728310,2.761510
Al,41,0.730240,-6.155032
Al,41,0.730240,2.723401
Al,42,0.746550,-5.955356
Al,42,0.746550,2.403399
Al,43,0.749990,-5.912598
Al,43,0.749990,2.336325
Al,44,0.753530,-5.868582
Al,44,0.753530,2.267482
Al,45,0.757040,-5.824719
Al,45,0.757040,2.199397
Al,46,0.773060,-5.622550
Al,46,0.773060,1.890700
Al,47,0.787050,-5.443028
Al,47,0.787050,1.624198
Al,48,0.799890,-5.275989
Al,48,0.799890,1.382096
Al,49,0.811810,-5.119096
Al,49,0.811810,1.159602
Al,50,0.815320,-5.072507
Al,50,0.815320,1.094507
Al,51,0.860530,-4.461631
Al,51,0.860530,0.275201
Al,52,0.871990,-4.304133
Al,52,0.871990,0.074039
Al,53,0.890120,-4.053697
Al,53,0.890120,-0.237695
Al,53,0.890120,5.200968
Al,54,0.895310,-3.982025
Al,54,0.895310,-0.325253
Al,54,0.895310,5.191509
Al,55,0.899560,-3.923344
Al,55,0.899560,-0.396334
Al,55,0.899560,5.184107
Al,56,0.904880,-3.850055
Al,56,0.904880,-0.484450
Al,56,0.904880,5.175267
Al,57,0.917450,-3.678012
Al,57,0.917450,-0.688363
Al,57,0.917450,5.156298
Al,58,0.930550,-3.501743
Al,58,0.930550,-0.892953
Al,58,0.930550,5.139378
Al,59,0.959840,-3.137628
Al,59,0.959840,-1.302907
Al,59,0.959840,5.112083
Al,60,0.985950,-2.910322
Al,60,0.985950,-1.550511
Al,60,0.985950,5.100061
Al,61,0.991030,-2.887717
Al,61,0.991030,-1.574791
Al,61,0.991030,5.099072
