element,point_id,t,E_pred_eV
Mg,1,0.080140,-6.607239
Mg,1,0.080140,-1.892749
Mg,1,0.080140,-0.974370
Mg,1,0.080140,9.568935
Mg,2,0.097760,-6.603304
Mg,2,0.097760,-1.968450
Mg,2,0.097760,-0.891538
Mg,2,0.097760,9.554850
Mg,3,0.109800,-6.599791
Mg,3,0.109800,-2.021441
Mg,3,0.109800,-0.833018
Mg,3,0.109800,9.543386
Mg,4,0.185120,-6.570563
Mg,4,0.185120,-2.358482
Mg,4,0.185120,-0.446720
Mg,4,0.185120,9.431149
Mg,5,0.198760,-6.563332
Mg,5,0.198760,-2.419206
Mg,5,0.198760,-0.374161
Mg,5,0.198760,9.402623
Mg,6,0.200910,-6.562354
Mg,6,0.200910,-2.428999
Mg,6,0.200910,-0.362670
Mg,6,0.200910,9.397726
Mg,7,0.214850,-6.554545
Mg,7,0.214850,-2.490840
Mg,7,0.214850,-0.287801
Mg,7,0.214850,9.364881
Mg,8,0.252220,-6.531546
Mg,8,0.252220,-2.655765
Mg,8,0.252220,-0.084269
Mg,8,0.252220,9.261127
Mg,9,0.263980,-6.523304
Mg,9,0.263980,-2.707026
Mg,9,0.263980,-0.019427
Mg,9,0.263980,9.223502
Mg,10,0.309520,-6.488873
Mg,10,0.309520,-2.903595
Mg,10,0.309520,0.234971
Mg,11,0.323360,-6.477025
Mg,11,0.323360,-2.962376
Mg,11,0.323360,0.313283
Mg,12,0.323450,-6.477072
Mg,12,0.323450,-2.962883
Mg,12,0.323450,0.313791
Mg,13,0.339290,-6.463107
Mg,13,0.339290,-3.029657
Mg,13,0.339290,0.403970
Mg,14,0.390670,-6.413472
Mg,14,0.390670,-3.243112
Mg,14,0.390670,0.700354
Mg,15,0.392770,-6.411161
Mg,15,0.392770,-3.251689
Mg,15,0.392770,0.712596
Mg,16,0.408490,-6.394593
Mg,16,0.408490,-3.315652
Mg,16,0.408490,0.804510
Mg,17,0.412570,-6.390052
Mg,17,0.412570,-3.332299
Mg,17,0.412570,0.828438
Mg,18,0.465940,-6.328095
Mg,18,0.465940,-3.545010
Mg,18,0.465940,1.144814
Mg,19,0.493760,-6.292560
Mg,19,0.493760,-3.653110
Mg,19,0.493760,1.312108
Mg,20,0.499600,-6.284996
Mg,20,0.499600,-3.675853
Mg,20,0.499600,1.347364
Mg,21,0.507590,-6.274259
Mg,21,0.507590,-3.706406
Mg,21,0.507590,1.395817
Mg,22,0.574780,-6.178294
Mg,22,0.574780,-3.958385
Mg,22,0.574780,1.807884
Mg,23,0.574900,-6.177866
Mg,23,0.574900,-3.958811
Mg,23,0.574900,1.808643
Mg,24,0.602610,-6.134925
Mg,24,0.602610,-4.059402
Mg,24,0.602610,1.981191
Mg,25,0.602880,-6.134347
Mg,25,0.602880,-4.060565
Mg,25,0.602880,1.982822
Mg,26,0.644110,-6.066599
Mg,26,0.644110,-4.206718
Mg,26,0.644110,2.242135
Mg,27,0.667840,-6.025330
Mg,27,0.667840,-4.289482
Mg,27,0.667840,2.392877
Mg,28,0.677840,-6.007679
Mg,28,0.677840,-4.323656
Mg,28,0.677840,2.456630
Mg,29,0.743490,-5.884739
Mg,29,0.743490,-4.542703
Mg,29,0.743490,2.879780
Mg,30,0.751060,-5.869617
Mg,30,0.751060,-4.567669
Mg,30,0.751060,2.929102
Mg,31,0.759090,-5.853769
Mg,31,0.759090,-4.593515
Mg,31,0.759090,2.981503
Mg,32,0.776900,-5.817693
Mg,32,0.776900,-4.650550
Mg,32,0.776900,3.098005
Mg,33,0.864310,-5.629343
Mg,33,0.864310,-4.918820
Mg,33,0.864310,3.677351
Mg,34,0.955650,-5.411005
Mg,34,0.955650,-5.178689
Mg,34,0.955650,4.294777
Mg,35,0.975550,-5.360504
Mg,35,0.975550,-5.232381
Mg,35,0.975550,4.430870
Mg,36,0.945260,-5.436626
Mg,36,0.945260,-5.150370
Mg,36,0.945260,4.224042
Mg,37,0.929460,-5.475618
Mg,37,0.929460,-5.106291
Mg,37,0.929460,4.116467
Mg,38,0.927420,-5.480530
Mg,38,0.927420,-5.100662
Mg,38,0.927420,4.102750
Mg,39,0.861990,-5.633986
Mg,39,0.861990,-4.912256
Mg,39,0.861990,3.661922
Mg,40,0.850150,-5.660967
Mg,40,0.850150,-4.876626
Mg,40,0.850150,3.582694
Mg,41,0.838230,-5.687225
Mg,41,0.838230,-4.840903
Mg,41,0.838230,3.503262
Mg,42,0.836080,-5.692116
Mg,42,0.836080,-4.834260
Mg,42,0.836080,3.489004
Mg,43,0.796520,-5.776840
Mg,43,0.796520,-4.712684
Mg,43,0.796520,3.227081
Mg,44,0.774730,-5.822171
Mg,44,0.774730,-4.643653
Mg,44,0.774730,3.083713
Mg,45,0.774640,-5.822258
Mg,45,0.774640,-4.643428
Mg,45,0.774640,3.083225
Mg,46,0.666510,-6.027742
Mg,46,0.666510,-4.284851
Mg,46,0.666510,2.384417
