K_bohr_inv,f_c
0.0000,1.17333065e+00
0.0200,1.17311543e+00
0.0400,1.17247000e+00
0.0600,1.17139501e+00
0.0800,1.16989156e+00
0.1000,1.16796118e+00
0.1200,1.16560583e+00
0.1400,1.16282791e+00
0.1600,1.15963023e+00
0.1800,1.15601603e+00
0.2000,1.15198895e+00
0.2200,1.14755303e+00
0.2400,1.14271274e+00
0.2600,1.13747290e+00
0.2800,1.13183873e+00
0.3000,1.12581581e+00
0.3200,1.11941008e+00
0.3400,1.11262783e+00
0.3600,1.10547568e+00
0.3800,1.09796058e+00
0.4000,1.09008979e+00
0.4200,1.08187085e+00
0.4400,1.07331161e+00
0.4600,1.06442017e+00
0.4800,1.05520489e+00
0.5000,1.04567436e+00
0.5200,1.03583741e+00
0.5400,1.02570306e+00
0.5600,1.01528056e+00
0.5800,1.00457929e+00
0.6000,9.93608839e-01
0.6200,9.82378906e-01
0.6400,9.70899342e-01
0.6600,9.59180108e-01
0.6800,9.47231267e-01
0.7000,9.35062967e-01
0.7200,9.22685423e-01
0.7400,9.10108908e-01
0.7600,8.97343731e-01
0.7800,8.84400227e-01
0.8000,8.71288743e-01
0.8200,8.58019622e-01
0.8400,8.44603186e-01
0.8600,8.31049731e-01
0.8800,8.17369505e-01
0.9000,8.03572701e-01
0.9200,7.89669444e-01
0.9400,7.75669776e-01
0.9600,7.61583649e-01
0.9800,7.47420909e-01
1.0000,7.33191292e-01
1.0200,7.18904406e-01
1.0400,7.04569730e-01
1.0600,6.90196599e-01
1.0800,6.75794197e-01
1.1000,6.61371549e-01
1.1200,6.46937515e-01
1.1400,6.32500781e-01
1.1600,6.18069854e-01
1.1800,6.03653054e-01
1.2000,5.89258511e-01
1.2200,5.74894157e-01
1.2400,5.60567725e-01
1.2600,5.46286742e-01
1.2800,5.32058527e-01
1.3000,5.17890187e-01
1.3200,5.03788614e-01
1.3400,4.89760485e-01
1.3600,4.75812256e-01
1.3800,4.61950166e-01
1.4000,4.48180230e-01
1.4200,4.34508245e-01
1.4400,4.20939782e-01
1.4600,4.07480194e-01
1.4800,3.94134610e-01
1.5000,3.80907939e-01
1.5200,3.67804872e-01
1.5400,3.54829879e-01
1.5600,3.41987217e-01
1.5800,3.29280924e-01
1.6000,3.16714830e-01
1.6200,3.04292553e-01
1.6400,2.92017502e-01
1.6600,2.79892885e-01
1.6800,2.67921705e-01
1.7000,2.56106769e-01
1.7200,2.44450688e-01
1.7400,2.32955882e-01
1.7600,2.21624584e-01
1.7800,2.10458841e-01
1.8000,1.99460522e-01
1.8200,1.88631319e-01
1.8400,1.77972752e-01
1.8600,1.67486175e-01
1.8800,1.57172777e-01
1.9000,1.47033587e-01
1.9200,1.37069482e-01
1.9400,1.27281185e-01
1.9600,1.17669277e-01
1.9800,1.08234193e-01
2.0000,9.89762352e-02
2.0200,8.98955699e-02
2.0400,8.09922365e-02
2.0600,7.22661505e-02
2.0800,6.37171078e-02
2.1000,5.53447891e-02
2.1200,4.71487646e-02
2.1400,3.91284977e-02
2.1600,3.12833500e-02
2.1800,2.36125849e-02
2.2000,1.61153720e-02
2.2200,8.79079119e-03
2.2400,1.63783658e-03
2.2600,-5.34457937e-03
2.2800,-1.21576221e-02
2.3000,-1.88025309e-02
2.3200,-2.52806155e-02
2.3400,-3.15932522e-02
2.3600,-3.77418799e-02
2.3800,-4.37279975e-02
2.4000,-4.95531594e-02
2.4200,-5.52189728e-02
2.4400,-6.07270942e-02
2.4600,-6.60792265e-02
2.4800,-7.12771152e-02
2.5000,-7.63225461e-02
2.5200,-8.12173420e-02
2.5400,-8.59633598e-02
2.5600,-9.05624881e-02
2.5800,-9.50166439e-02
2.6000,-9.93277705e-02
2.6200,-1.03497835e-01
2.6400,-1.07528825e-01
2.6600,-1.11422748e-01
2.6800,-1.15181628e-01
2.7000,-1.18807501e-01
2.7200,-1.22302419e-01
2.7400,-1.25668441e-01
2.7600,-1.28907636e-01
2.7800,-1.32022079e-01
2.8000,-1.35013850e-01
2.8200,-1.37885030e-01
2.8400,-1.40637704e-01
2.8600,-1.43273954e-01
2.8800,-1.45795861e-01
2.9000,-1.48205504e-01
2.9200,-1.50504955e-01
2.9400,-1.52696281e-01
2.9600,-1.54781541e-01
2.9800,-1.56762787e-01
3.0000,-1.58642059e-01
3.0200,-1.60421388e-01
3.0400,-1.62102793e-01
3.0600,-1.63688280e-01
3.0800,-1.65179840e-01
3.1000,-1.66579451e-01
3.1200,-1.67889076e-01
3.1400,-1.69110660e-01
3.1600,-1.70246132e-01
3.1800,-1.71297405e-01
3.2000,-1.72266371e-01
3.2200,-1.73154906e-01
3.2400,-1.73964865e-01
3.2600,-1.74698083e-01
3.2800,-1.75356377e-01
3.3000,-1.75941540e-01
3.3200,-1.76455347e-01
3.3400,-1.76899550e-01
3.3600,-1.77275879e-01
3.3800,-1.77586043e-01
3.4000,-1.77831727e-01
