K_bohr_inv,f_c
0.0000,1.45072728e+00
0.0200,1.45026939e+00
0.0400,1.44889658e+00
0.0600,1.44661136e+00
0.0800,1.44341793e+00
0.1000,1.43932216e+00
0.1200,1.43433153e+00
0.1400,1.42845516e+00
0.1600,1.42170371e+00
0.1800,1.41408941e+00
0.2000,1.40562596e+00
0.2200,1.39632852e+00
0.2400,1.38621363e+00
0.2600,1.37529916e+00
0.2800,1.36360426e+00
0.3000,1.35114926e+00
0.3200,1.33795567e+00
0.3400,1.32404601e+00
0.3600,1.30944381e+00
0.3800,1.29417352e+00
0.4000,1.27826041e+00
0.4200,1.26173049e+00
0.4400,1.24461045e+00
0.4600,1.22692759e+00
0.4800,1.20870968e+00
0.5000,1.18998494e+00
0.5200,1.17078194e+00
0.5400,1.15112949e+00
0.5600,1.13105663e+00
0.5800,1.11059247e+00
0.6000,1.08976617e+00
0.6200,1.06860688e+00
0.6400,1.04714362e+00
0.6600,1.02540524e+00
0.6800,1.00342036e+00
0.7000,9.81217297e-01
0.7200,9.58824016e-01
0.7400,9.36268069e-01
0.7600,9.13576546e-01
0.7800,8.90776027e-01
0.8000,8.67892534e-01
0.8200,8.44951496e-01
0.8400,8.21977706e-01
0.8600,7.98995290e-01
0.8800,7.76027676e-01
0.9000,7.53097565e-01
0.9200,7.30226911e-01
0.9400,7.07436896e-01
0.9600,6.84747920e-01
0.9800,6.62179577e-01
1.0000,6.39750654e-01
1.0200,6.17479117e-01
1.0400,5.95382105e-01
1.0600,5.73475934e-01
1.0800,5.51776089e-01
1.1000,5.30297231e-01
1.1200,5.09053199e-01
1.1400,4.88057019e-01
1.1600,4.67320910e-01
1.1800,4.46856295e-01
1.2000,4.26673815e-01
1.2200,4.06783337e-01
1.2400,3.87193976e-01
1.2600,3.67914105e-01
1.2800,3.48951374e-01
1.3000,3.30312731e-01
1.3200,3.12004435e-01
1.3400,2.94032081e-01
1.3600,2.76400618e-01
1.3800,2.59114369e-01
1.4000,2.42177053e-01
1.4200,2.25591809e-01
1.4400,2.09361214e-01
1.4600,1.93487305e-01
1.4800,1.77971604e-01
1.5000,1.62815139e-01
1.5200,1.48018463e-01
1.5400,1.33581679e-01
1.5600,1.19504460e-01
1.5800,1.05786072e-01
1.6000,9.24253914e-02
1.6200,7.94209302e-02
1.6400,6.67708529e-02
1.6600,5.44729974e-02
1.6800,4.25248950e-02
1.7000,3.09237884e-02
1.7200,1.96666511e-02
1.7400,8.75020461e-03
1.7600,-1.82906375e-03
1.7800,-1.20748840e-02
1.8000,-2.19911870e-02
1.8200,-3.15820892e-02
1.8400,-4.08518764e-02
1.8600,-4.98049902e-02
1.8800,-5.84460129e-02
1.9000,-6.67796545e-02
1.9200,-7.48107396e-02
