r_bohr,u_c,V_H_c
0.00200,4.55340135e-02,2.31425115e+00
0.00400,8.87138720e-02,2.31507620e+00
0.00600,1.29613844e-01,2.31508379e+00
0.00800,1.68306336e-01,2.31433703e+00
0.01000,2.04861907e-01,2.31289544e+00
0.01200,2.39349277e-01,2.31081515e+00
0.01400,2.71835353e-01,2.30814904e+00
0.01600,3.02385248e-01,2.30494692e+00
0.01800,3.31062310e-01,2.30125565e+00
0.02000,3.57928150e-01,2.29711932e+00
0.02200,3.83042671e-01,2.29257937e+00
0.02400,4.06464106e-01,2.28767474e+00
0.02600,4.28249045e-01,2.28244198e+00
0.02800,4.48452478e-01,2.27691538e+00
0.03000,4.67127823e-01,2.27112709e+00
0.03200,4.84326971e-01,2.26510722e+00
0.03400,5.00100315e-01,2.25888397e+00
0.03600,5.14496793e-01,2.25248370e+00
0.03800,5.27563919e-01,2.24593104e+00
0.04000,5.39347827e-01,2.23924900e+00
0.04200,5.49893303e-01,2.23245903e+00
0.04400,5.59243819e-01,2.22558112e+00
0.04600,5.67441574e-01,2.21863385e+00
0.04800,5.74527528e-01,2.21163454e+00
0.05000,5.80541431e-01,2.20459921e+00
0.05200,5.85521866e-01,2.19754275e+00
0.05400,5.89506274e-01,2.19047892e+00
0.05600,5.92530989e-01,2.18342046e+00
0.05800,5.94631274e-01,2.17637910e+00
0.06000,5.95841345e-01,2.16936565e+00
0.06200,5.96194407e-01,2.16239004e+00
0.06400,5.95722679e-01,2.15546137e+00
0.06600,5.94457424e-01,2.14858795e+00
0.06800,5.92428981e-01,2.14177738e+00
0.07000,5.89666784e-01,2.13503655e+00
0.07200,5.86199396e-01,2.12837169e+00
0.07400,5.82054530e-01,2.12178844e+00
0.07600,5.77259073e-01,2.11529184e+00
0.07800,5.71839116e-01,2.10888641e+00
0.08000,5.65819969e-01,2.10257614e+00
0.08200,5.59226191e-01,2.09636456e+00
0.08400,5.52081609e-01,2.09025474e+00
0.08600,5.44409336e-01,2.08424934e+00
0.08800,5.36231797e-01,2.07835061e+00
0.09000,5.27570747e-01,2.07256046e+00
0.09200,5.18447289e-01,2.06688042e+00
0.09400,5.08881893e-01,2.06131174e+00
0.09600,4.98894416e-01,2.05585532e+00
0.09800,4.88504118e-01,2.05051184e+00
0.10000,4.77729680e-01,2.04528166e+00
0.10200,4.66589219e-01,2.04016494e+00
0.10400,4.55100306e-01,2.03516160e+00
0.10600,4.43279980e-01,2.03027135e+00
0.10800,4.31144764e-01,2.02549371e+00
0.11000,4.18710679e-01,2.02082801e+00
0.11200,4.05993257e-01,2.01627344e+00
0.11400,3.93007559e-01,2.01182901e+00
0.11600,3.79768181e-01,2.00749361e+00
0.11800,3.66289275e-01,2.00326599e+00
0.12000,3.52584555e-01,1.99914480e+00
0.12200,3.38667314e-01,1.99512855e+00
0.12400,3.24550433e-01,1.99121570e+00
0.12600,3.10246390e-01,1.98740457e+00
0.12800,2.95767279e-01,1.98369345e+00
0.13000,2.81124811e-01,1.98008052e+00
0.13200,2.66330334e-01,1.97656393e+00
0.13400,2.51394834e-01,1.97314174e+00
0.13600,2.36328951e-01,1.96981199e+00
0.13800,2.21142989e-01,1.96657266e+00
0.14000,2.05846920e-01,1.96342169e+00
0.14200,1.90450397e-01,1.96035702e+00
0.14400,1.74962763e-01,1.95737651e+00
0.14600,1.59393057e-01,1.95447806e+00
0.14800,1.43750027e-01,1.95165950e+00
0.15000,1.28042131e-01,1.94891869e+00
0.15200,1.12277551e-01,1.94625345e+00
0.15400,9.64641982e-02,1.94366162e+00
0.15600,8.06097203e-02,1.94114103e+00
0.15800,6.47215093e-02,1.93868950e+00
0.16000,4.88067085e-02,1.93630487e+00
0.16200,3.28722191e-02,1.93398499e+00
0.16400,1.69247070e-02,1.93172773e+00
0.16600,9.70609258e-04,1.92953093e+00
0.16800,-1.49838595e-02,1.92739251e+00
0.17000,-3.09327010e-02,1.92531035e+00
0.17200,-4.68701273e-02,1.92328239e+00
0.17400,-6.27905552e-02,1.92130657e+00
0.17600,-7.86886001e-02,1.91938086e+00
0.17800,-9.45590709e-02,1.91750325e+00
0.18000,-1.10396964e-01,1.91567177e+00
0.18200,-1.26197460e-01,1.91388446e+00
0.18400,-1.41955915e-01,1.91213941e+00
0.18600,-1.57667859e-01,1.91043471e+00
0.18800,-1.73328989e-01,1.90876850e+00
0.19000,-1.88935167e-01,1.90713894e+00
0.19200,-2.04482411e-01,1.90554425e+00
0.19400,-2.19966896e-01,1.90398265e+00
0.19600,-2.35384943e-01,1.90245240e+00
0.19800,-2.50733023e-01,1.90095180e+00
0.20000,-2.66007743e-01,1.89947918e+00
0.20200,-2.81205853e-01,1.89803291e+00
0.20400,-2.96324232e-01,1.89661139e+00
0.20600,-3.11359892e-01,1.89521305e+00
0.20800,-3.26309969e-01,1.89383637e+00
0.21000,-3.41171722e-01,1.89247984e+00
0.21200,-3.55942529e-01,1.89114200e+00
0.21400,-3.70619884e-01,1.88982143e+00
0.21600,-3.85201391e-01,1.88851673e+00
0.21800,-3.99684767e-01,1.88722655e+00
0.22000,-4.14067830e-01,1.88594956e+00
0.22200,-4.28348505e-01,1.88468448e+00
0.22400,-4.42524814e-01,1.88343004e+00
0.22600,-4.56594878e-01,1.88218503e+00
0.22800,-4.70556911e-01,1.88094826e+00
0.23000,-4.84409217e-01,1.87971858e+00
0.23200,-4.98150192e-01,1.87849486e+00
0.23400,-5.11778315e-01,1.87727602e+00
0.23600,-5.25292151e-01,1.87606099e+00
0.23800,-5.38690344e-01,1.87484875e+00
0.24000,-5.51971618e-01,1.87363832e+00
0.24200,-5.65134773e-01,1.87242872e+00
0.24400,-5.78178683e-01,1.87121902e+00
0.24600,-5.91102295e-01,1.87000833e+00
0.24800,-6.03904624e-01,1.86879577e+00
0.25000,-6.16584755e-01,1.86758049e+00
0.25200,-6.29141835e-01,1.86636170e+00
0.25400,-6.41575079e-01,1.86513859e+00
0.25600,-6.53883761e-01,1.86391041e+00
0.25800,-6.66067215e-01,1.86267644e+00
0.26000,-6.78124834e-01,1.86143597e+00
0.26200,-6.90056067e-01,1.86018832e+00
0.26400,-7.01860418e-01,1.85893284e+00
0.26600,-7.13537441e-01,1.85766892e+00
0.26800,-7.25086746e-01,1.85639594e+00
0.27000,-7.36507988e-01,1.85511334e+00
0.27200,-7.47800872e-01,1.85382056e+00
0.27400,-7.58965151e-01,1.85251708e+00
0.27600,-7.70000621e-01,1.85120239e+00
0.27800,-7.80907121e-01,1.84987601e+00
0.28000,-7.91684534e-01,1.84853748e+00
0.28200,-8.02332783e-01,1.84718637e+00
0.28400,-8.12851831e-01,1.84582225e+00
0.28600,-8.23241679e-01,1.84444473e+00
0.28800,-8.33502363e-01,1.84305343e+00
0.29000,-8.43633959e-01,1.84164800e+00
0.29200,-8.53636572e-01,1.84022810e+00
0.29400,-8.63510346e-01,1.83879342e+00
0.29600,-8.73255453e-01,1.83734365e+00
0.29800,-8.82872098e-01,1.83587851e+00
