r_bohr,u_c,V_H_c
0.00200,1.36655868e-01,1.05501271e+01
0.00400,2.67368455e-01,1.05578578e+01
0.00600,3.92335382e-01,1.05583971e+01
0.00800,5.11748689e-01,1.05522191e+01
0.01000,6.25794932e-01,1.05397725e+01
0.01200,7.34655279e-01,1.05214819e+01
0.01400,8.38505614e-01,1.04977488e+01
0.01600,9.37516645e-01,1.04689529e+01
0.01800,1.03185402e+00,1.04354529e+01
0.02000,1.12167841e+00,1.03975881e+01
0.02200,1.20714568e+00,1.03556790e+01
0.02400,1.28840694e+00,1.03100281e+01
0.02600,1.36560871e+00,1.02609212e+01
0.02800,1.43889298e+00,1.02086280e+01
0.03000,1.50839739e+00,1.01534031e+01
0.03200,1.57425531e+00,1.00954865e+01
0.03400,1.63659593e+00,1.00351045e+01
0.03600,1.69554441e+00,9.97247077e+00
0.03800,1.75122198e+00,9.90778623e+00
0.04000,1.80374605e+00,9.84124036e+00
0.04200,1.85323031e+00,9.77301154e+00
0.04400,1.89978482e+00,9.70326768e+00
0.04600,1.94351617e+00,9.63216672e+00
0.04800,1.98452750e+00,9.55985722e+00
0.05000,2.02291868e+00,9.48647882e+00
0.05200,2.05878637e+00,9.41216270e+00
0.05400,2.09222408e+00,9.33703207e+00
0.05600,2.12332235e+00,9.26120255e+00
0.05800,2.15216874e+00,9.18478261e+00
0.06000,2.17884802e+00,9.10787391e+00
0.06200,2.20344216e+00,9.03057173e+00
0.06400,2.22603048e+00,8.95296523e+00
0.06600,2.24668973e+00,8.87513786e+00
0.06800,2.26549410e+00,8.79716762e+00
0.07000,2.28251541e+00,8.71912738e+00
0.07200,2.29782307e+00,8.64108515e+00
0.07400,2.31148424e+00,8.56310433e+00
0.07600,2.32356385e+00,8.48524399e+00
0.07800,2.33412470e+00,8.40755910e+00
0.08000,2.34322751e+00,8.33010076e+00
0.08200,2.35093098e+00,8.25291640e+00
0.08400,2.35729187e+00,8.17604999e+00
0.08600,2.36236505e+00,8.09954224e+00
0.08800,2.36620357e+00,8.02343080e+00
0.09000,2.36885871e+00,7.94775039e+00
0.09200,2.37038001e+00,7.87253298e+00
0.09400,2.37081540e+00,7.79780800e+00
0.09600,2.37021115e+00,7.72360239e+00
0.09800,2.36861200e+00,7.64994083e+00
0.10000,2.36606118e+00,7.57684582e+00
0.10200,2.36260047e+00,7.50433782e+00
0.10400,2.35827022e+00,7.43243539e+00
0.10600,2.35310940e+00,7.36115527e+00
0.10800,2.34715570e+00,7.29051249e+00
0.11000,2.34044547e+00,7.22052051e+00
0.11200,2.33301387e+00,7.15119126e+00
0.11400,2.32489482e+00,7.08253528e+00
0.11600,2.31612108e+00,7.01456178e+00
0.11800,2.30672430e+00,6.94727873e+00
0.12000,2.29673502e+00,6.88069292e+00
0.12200,2.28618273e+00,6.81481006e+00
0.12400,2.27509589e+00,6.74963483e+00
0.12600,2.26350198e+00,6.68517097e+00
0.12800,2.25142750e+00,6.62142129e+00
0.13000,2.23889805e+00,6.55838779e+00
0.13200,2.22593829e+00,6.49607167e+00
0.13400,2.21257204e+00,6.43447341e+00
0.13600,2.19882227e+00,6.37359280e+00
0.13800,2.18471112e+00,6.31342900e+00
0.14000,2.17025996e+00,6.25398058e+00
0.14200,2.15548937e+00,6.19524556e+00
0.14400,2.14041920e+00,6.13722144e+00
0.14600,2.12506858e+00,6.07990527e+00
0.14800,2.10945596e+00,6.02329364e+00
0.15000,2.09359909e+00,5.96738276e+00
0.15200,2.07751508e+00,5.91216843e+00
0.15400,2.06122041e+00,5.85764615e+00
0.15600,2.04473096e+00,5.80381107e+00
0.15800,2.02806200e+00,5.75065808e+00
0.16000,2.01122824e+00,5.69818177e+00
0.16200,1.99424383e+00,5.64637651e+00
0.16400,1.97712238e+00,5.59523646e+00
0.16600,1.95987699e+00,5.54475556e+00
0.16800,1.94252025e+00,5.49492758e+00
0.17000,1.92506427e+00,5.44574614e+00
0.17200,1.90752070e+00,5.39720468e+00
0.17400,1.88990069e+00,5.34929657e+00
0.17600,1.87221501e+00,5.30201500e+00
0.17800,1.85447395e+00,5.25535312e+00
0.18000,1.83668743e+00,5.20930396e+00
0.18200,1.81886493e+00,5.16386049e+00
0.18400,1.80101558e+00,5.11901562e+00
0.18600,1.78314811e+00,5.07476220e+00
0.18800,1.76527091e+00,5.03109305e+00
0.19000,1.74739200e+00,4.98800096e+00
0.19200,1.72951907e+00,4.94547869e+00
0.19400,1.71165949e+00,4.90351901e+00
0.19600,1.69382029e+00,4.86211466e+00
0.19800,1.67600822e+00,4.82125840e+00
0.20000,1.65822973e+00,4.78094298e+00
0.20200,1.64049097e+00,4.74116118e+00
0.20400,1.62279782e+00,4.70190581e+00
0.20600,1.60515589e+00,4.66316969e+00
0.20800,1.58757054e+00,4.62494568e+00
0.21000,1.57004687e+00,4.58722668e+00
0.21200,1.55258974e+00,4.55000563e+00
0.21400,1.53520379e+00,4.51327550e+00
0.21600,1.51789342e+00,4.47702933e+00
0.21800,1.50066281e+00,4.44126020e+00
0.22000,1.48351594e+00,4.40596126e+00
0.22200,1.46645658e+00,4.37112569e+00
0.22400,1.44948831e+00,4.33674677e+00
0.22600,1.43261452e+00,4.30281780e+00
0.22800,1.41583840e+00,4.26933217e+00
0.23000,1.39916299e+00,4.23628335e+00
0.23200,1.38259115e+00,4.20366484e+00
0.23400,1.36612556e+00,4.17147024e+00
0.23600,1.34976876e+00,4.13969322e+00
0.23800,1.33352313e+00,4.10832751e+00
0.24000,1.31739091e+00,4.07736692e+00
0.24200,1.30137419e+00,4.04680534e+00
0.24400,1.28547491e+00,4.01663672e+00
0.24600,1.26969491e+00,3.98685510e+00
0.24800,1.25403588e+00,3.95745459e+00
0.25000,1.23849938e+00,3.92842939e+00
0.25200,1.22308689e+00,3.89977375e+00
0.25400,1.20779972e+00,3.87148202e+00
0.25600,1.19263913e+00,3.84354862e+00
0.25800,1.17760622e+00,3.81596805e+00
0.26000,1.16270203e+00,3.78873488e+00
0.26200,1.14792748e+00,3.76184377e+00
0.26400,1.13328340e+00,3.73528944e+00
0.26600,1.11877054e+00,3.70906670e+00
0.26800,1.10438955e+00,3.68317043e+00
0.27000,1.09014100e+00,3.65759559e+00
0.27200,1.07602538e+00,3.63233721e+00
0.27400,1.06204312e+00,3.60739040e+00
0.27600,1.04819454e+00,3.58275034e+00
0.27800,1.03447992e+00,3.55841229e+00
0.28000,1.02089947e+00,3.53437158e+00
0.28200,1.00745331e+00,3.51062361e+00
0.28400,9.94141525e-01,3.48716385e+00
0.28600,9.80964127e-01,3.46398785e+00
0.28800,9.67921072e-01,3.44109123e+00
0.29000,9.55012263e-01,3.41846966e+00
0.29200,9.42237548e-01,3.39611892e+00
0.29400,9.29596727e-01,3.37403481e+00
0.29600,9.17089549e-01,3.35221323e+00
0.29800,9.04715721e-01,3.33065014e+00
0.30000,8.92474902e-01,3.30934155e+00
0.30200,8.80366712e-01,3.28828357e+00
0.30400,8.68390729e-01,3.26747233e+00
0.30600,8.56546494e-01,3.24690406e+00
0.30800,8.44833512e-01,3.22657504e+00
0.31000,8.33251251e-01,3.20648160e+00
0.31200,8.21799150e-01,3.18662014e+00
0.31400,8.10476613e-01,3.16698713e+00
0.31600,7.99283016e-01,3.14757909e+00
0.31800,7.88217707e-01,3.12839259e+00
0.32000,7.77280006e-01,3.10942427e+00
0.32200,7.66469208e-01,3.09067083e+00
0.32400,7.55784586e-01,3.07212900e+00
0.32600,7.45225387e-01,3.05379559e+00
0.32800,7.34790839e-01,3.03566747e+00
0.33000,7.24480150e-01,3.01774153e+00
0.33200,7.14292506e-01,3.00001475e+00
0.33400,7.04227079e-01,2.98248413e+00
0.33600,6.94283021e-01,2.96514675e+00
0.33800,6.84459470e-01,2.94799970e+00
0.34000,6.74755550e-01,2.93104017e+00
0.34200,6.65170369e-01,2.91426536e+00
0.34400,6.55703024e-01,2.89767252e+00
0.34600,6.46352600e-01,2.88125897e+00
0.34800,6.37118170e-01,2.86502206e+00
0.35000,6.27998798e-01,2.84895918e+00
0.35200,6.18993537e-01,2.83306778e+00
0.35400,6.10101434e-01,2.81734534e+00
0.35600,6.01321527e-01,2.80178939e+00
0.35800,5.92652846e-01,2.78639749e+00
0.36000,5.84094415e-01,2.77116727e+00
0.36200,5.75645255e-01,2.75609637e+00
0.36400,5.67304377e-01,2.74118248e+00
0.36600,5.59070793e-01,2.72642334e+00
0.36800,5.50943507e-01,2.71181672e+00
0.37000,5.42921522e-01,2.69736042e+00
0.37200,5.35003837e-01,2.68305229e+00
0.37400,5.27189451e-01,2.66889021e+00
0.37600,5.19477358e-01,2.65487210e+00
0.37800,5.11866554e-01,2.64099592e+00
0.38000,5.04356032e-01,2.62725964e+00
0.38200,4.96944787e-01,2.61366130e+00
0.38400,4.89631812e-01,2.60019895e+00
0.38600,4.82416103e-01,2.58687068e+00
0.38800,4.75296654e-01,2.57367460e+00
0.39000,4.68272463e-01,2.56060887e+00
0.39200,4.61342528e-01,2.54767167e+00
0.39400,4.54505850e-01,2.53486123e+00
0.39600,4.47761433e-01,2.52217577e+00
0.39800,4.41108282e-01,2.50961358e+00
0.40000,4.34545406e-01,2.49717296e+00
0.40200,4.28071817e-01,2.48485224e+00
0.40400,4.21686532e-01,2.47264977e+00
0.40600,4.15388570e-01,2.46056395e+00
0.40800,4.09176955e-01,2.44859319e+00
0.41000,4.03050715e-01,2.43673592e+00
0.41200,3.97008883e-01,2.42499062e+00
0.41400,3.91050496e-01,2.41335576e+00
0.41600,3.85174596e-01,2.40182988e+00
0.41800,3.79380232e-01,2.39041151e+00
0.42000,3.73666456e-01,2.37909920e+00
0.42200,3.68032327e-01,2.36789157e+00
0.42400,3.62476909e-01,2.35678720e+00
0.42600,3.56999272e-01,2.34578474e+00
0.42800,3.51598493e-01,2.33488284e+00
0.43000,3.46273652e-01,2.32408019e+00
0.43200,3.41023839e-01,2.31337548e+00
0.43400,3.35848149e-01,2.30276743e+00
0.43600,3.30745682e-01,2.29225479e+00
0.43800,3.25715547e-01,2.28183631e+00
0.44000,3.20756857e-01,2.27151079e+00
0.44200,3.15868735e-01,2.26127701e+00
0.44400,3.11050309e-01,2.25113381e+00
0.44600,3.06300713e-01,2.24108003e+00
0.44800,3.01619091e-01,2.23111451e+00
0.45000,2.97004590e-01,2.22123614e+00
0.45200,2.92456368e-01,2.21144382e+00
0.45400,2.87973588e-01,2.20173646e+00
0.45600,2.83555420e-01,2.19211298e+00
0.45800,2.79201044e-01,2.18257234e+00
0.46000,2.74909644e-01,2.17311349e+00
0.46200,2.70680414e-01,2.16373542e+00
0.46400,2.66512553e-01,2.15443713e+00
0.46600,2.62405269e-01,2.14521762e+00
0.46800,2.58357777e-01,2.13607592e+00
0.47000,2.54369300e-01,2.12701108e+00
0.47200,2.50439069e-01,2.11802215e+00
