r_bohr,u_c,V_H_c
0.00200,1.75788745e-01,1.25413798e+01
0.00400,3.42560768e-01,1.25537013e+01
0.00600,5.00669002e-01,1.25538755e+01
0.00800,6.50454555e-01,1.25428486e+01
0.01000,7.92246968e-01,1.25215063e+01
0.01200,9.26364484e-01,1.24906783e+01
0.01400,1.05311433e+00,1.24511408e+01
0.01600,1.17279299e+00,1.24036201e+01
0.01800,1.28568651e+00,1.23487953e+01
0.02000,1.39207078e+00,1.22873014e+01
0.02200,1.49221181e+00,1.22197317e+01
0.02400,1.58636606e+00,1.21466402e+01
0.02600,1.67478068e+00,1.20685442e+01
0.02800,1.75769385e+00,1.19859265e+01
0.03000,1.83533501e+00,1.18992372e+01
0.03200,1.90792518e+00,1.18088962e+01
0.03400,1.97567722e+00,1.17152945e+01
0.03600,2.03879609e+00,1.16187964e+01
0.03800,2.09747914e+00,1.15197410e+01
0.04000,2.15191632e+00,1.14184434e+01
0.04200,2.20229049e+00,1.13151969e+01
0.04400,2.24877763e+00,1.12102738e+01
0.04600,2.29154708e+00,1.11039268e+01
0.04800,2.33076177e+00,1.09963906e+01
0.05000,2.36657848e+00,1.08878824e+01
0.05200,2.39914799e+00,1.07786036e+01
0.05400,2.42861537e+00,1.06687403e+01
0.05600,2.45512013e+00,1.05584648e+01
0.05800,2.47879644e+00,1.04479359e+01
0.06000,2.49977332e+00,1.03373003e+01
0.06200,2.51817484e+00,1.02266931e+01
0.06400,2.53412027e+00,1.01162385e+01
0.06600,2.54772427e+00,1.00060505e+01
0.06800,2.55909707e+00,9.89623399e+00
0.07000,2.56834460e+00,9.78688469e+00
0.07200,2.57556871e+00,9.67809023e+00
0.07400,2.58086722e+00,9.56993049e+00
0.07600,2.58433418e+00,9.46247818e+00
0.07800,2.58605991e+00,9.35579925e+00
0.08000,2.58613121e+00,9.24995344e+00
0.08200,2.58463146e+00,9.14499460e+00
0.08400,2.58164073e+00,9.04097116e+00
0.08600,2.57723592e+00,8.93792649e+00
0.08800,2.57149090e+00,8.83589920e+00
0.09000,2.56447658e+00,8.73492354e+00
0.09200,2.55626104e+00,8.63502966e+00
0.09400,2.54690963e+00,8.53624390e+00
0.09600,2.53648509e+00,8.43858909e+00
0.09800,2.52504760e+00,8.34208476e+00
0.10000,2.51265493e+00,8.24674743e+00
