x,Curve1
-0.00059,-10.576
0.09232,-10.6424
0.15017,-10.5826
0.20097,-10.189
0.26672,-10.2085
0.27788,-9.8266
0.32328,-9.8465
0.35649,-9.6336
0.37135,-9.9354
0.38308,-9.6117
0.39813,-9.5159
0.4278,-9.4356
0.43645,-9.181
0.45266,-9.2177
0.45987,-9.1115
0.4629,-8.9842
0.49287,-8.6442
0.50315,-8.4478
0.51059,-8.6225
0.52128,-8.2936
0.54139,-8.0069
0.56746,-7.9903
0.57137,-7.6721
0.60337,-7.2632
0.60356,-7.4911
0.62265,-7.2362
0.62332,-7.411
0.63198,-7.1617
0.63762,-7.0397
0.65247,-6.7053
0.65316,-6.9014
0.65431,-7.0339
0.66561,-6.8269
0.66695,-6.546
0.66706,-6.6785
0.68001,-6.5721
0.70375,-6.2641
0.70447,-6.5026
0.71744,-6.4121
0.72831,-6.3058
0.73024,-6.115
0.74655,-5.6481
0.74999,-6.0243
0.75353,-5.8917
0.75704,-5.722
0.77306,-5.5361
0.78705,-5.4244
0.79989,-5.175
0.81181,-5.0792
0.81532,-4.9148
0.86053,-4.0656
0.87199,-0.2333
0.89012,-0.7098
0.89531,-3.858
0.89956,-0.7732
0.90488,-0.9002
0.91745,-0.9635
0.93055,-1.0267
0.95984,-1.1214
0.98595,-1.1578
0.99103,-2.9014
